Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4,Condition 1_ConditionNum,Condition 2_ConditionNum,Condition 3_ConditionNum,Condition 4_ConditionNum
P1,pointing+spatial,A,pointing,C,spatial,D,label,B,3,2,1,4
P2,pointing,D,label,A,spatial,C,pointing+spatial,B,2,4,1,3
P3,pointing,B,spatial,A,pointing+spatial,C,label,D,2,1,3,4
P4,pointing+spatial,D,label,C,spatial,A,pointing,B,3,4,1,2
P5,pointing+spatial,C,spatial,B,label,D,pointing,A,3,1,4,2
P6,spatial,D,label,C,pointing+spatial,B,pointing,A,1,4,3,2
P7,label,B,pointing+spatial,A,spatial,C,pointing,D,4,3,1,2
P8,label,B,pointing,A,pointing+spatial,D,spatial,C,4,2,3,1
P9,spatial,D,pointing+spatial,B,label,A,pointing,C,1,3,4,2
P10,spatial,B,label,C,pointing,A,pointing+spatial,D,1,4,2,3
P11,pointing,C,pointing+spatial,A,label,D,spatial,B,2,3,4,1
P12,label,C,spatial,B,pointing+spatial,A,pointing,D,4,1,3,2
P13,pointing+spatial,C,pointing,B,label,A,spatial,D,3,2,4,1
P14,label,C,spatial,A,pointing,B,pointing+spatial,D,4,1,2,3
P15,spatial,C,pointing,D,label,A,pointing+spatial,B,1,2,4,3
P16,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P17,pointing,C,label,B,pointing+spatial,A,spatial,D,2,4,3,1
P18,pointing+spatial,D,spatial,C,pointing,A,label,B,3,1,2,4
P19,pointing+spatial,C,label,D,pointing,B,spatial,A,3,4,2,1
P20,label,A,pointing+spatial,B,pointing,C,spatial,D,4,3,2,1
P21,spatial,B,pointing+spatial,C,pointing,D,label,A,1,3,2,4
P22,label,C,pointing,D,spatial,B,pointing+spatial,A,4,2,1,3
P23,pointing,C,spatial,A,label,D,pointing+spatial,B,2,1,4,3
P24,pointing,C,pointing+spatial,D,spatial,A,label,B,2,3,1,4
