Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4,Condition 1_ConditionNum,Condition 2_ConditionNum,Condition 3_ConditionNum,Condition 4_ConditionNum
P1,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P2,pointing,B,pointing+spatial,C,label,D,spatial,A,2,3,4,1
P3,pointing+spatial,C,label,D,spatial,A,pointing,B,3,4,1,2
P4,label,D,spatial,A,pointing,B,pointing+spatial,C,4,1,2,3
P5,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P6,pointing,B,pointing+spatial,C,label,D,spatial,A,2,3,4,1
P7,pointing+spatial,C,label,D,spatial,A,pointing,B,3,4,1,2
P8,label,D,spatial,A,pointing,B,pointing+spatial,C,4,1,2,3
P9,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P10,pointing,B,pointing+spatial,C,label,D,spatial,A,2,3,4,1
P11,pointing+spatial,C,label,D,spatial,A,pointing,B,3,4,1,2
P12,label,D,spatial,A,pointing,B,pointing+spatial,C,4,1,2,3
P13,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P14,pointing,B,pointing+spatial,C,label,D,spatial,A,2,3,4,1
P15,pointing+spatial,C,label,D,spatial,A,pointing,B,3,4,1,2
P16,label,D,spatial,A,pointing,B,pointing+spatial,C,4,1,2,3
P17,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P18,pointing,B,pointing+spatial,C,label,D,spatial,A,2,3,4,1
P19,pointing+spatial,C,label,D,spatial,A,pointing,B,3,4,1,2
P20,label,D,spatial,A,pointing,B,pointing+spatial,C,4,1,2,3
P21,spatial,A,pointing,B,pointing+spatial,C,label,D,1,2,3,4
P22,pointing,B,pointing+spatial,C,label,D,spatial,A,2,3,4,1
P23,pointing+spatial,C,label,D,spatial,A,pointing,B,3,4,1,2
P24,label,D,spatial,A,pointing,B,pointing+spatial,C,4,1,2,3
