Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4
Participant 1,FD+SR(1),A,Pointing(3),B,Pointing+SR(2),C,Label(4),D
Participant 2,Pointing+SR(2),B,FD+SR(1),C,Label(4),D,Pointing(3),A
Participant 3,Label(4),C,Pointing+SR(2),D,Pointing(3),A,FD+SR(1),B
Participant 4,Pointing(3),D,Label(4),A,FD+SR(1),B,Pointing+SR(2),C
Participant 5,FD+SR(1),A,Pointing(3),B,Pointing+SR(2),C,Label(4),D
Participant 6,Pointing+SR(2),B,FD+SR(1),C,Label(4),D,Pointing(3),A
Participant 7,Label(4),C,Pointing+SR(2),D,Pointing(3),A,FD+SR(1),B
Participant 8,Pointing(3),D,Label(4),A,FD+SR(1),B,Pointing+SR(2),C
Participant 9,FD+SR(1),A,Pointing(3),B,Pointing+SR(2),C,Label(4),D
Participant 10,Pointing+SR(2),B,FD+SR(1),C,Label(4),D,Pointing(3),A
Participant 11,Label(4),C,Pointing+SR(2),D,Pointing(3),A,FD+SR(1),B
Participant 12,Pointing(3),D,Label(4),A,FD+SR(1),B,Pointing+SR(2),C
Participant 13,FD+SR(1),A,Pointing(3),B,Pointing+SR(2),C,Label(4),D
Participant 14,Pointing+SR(2),B,FD+SR(1),C,Label(4),D,Pointing(3),A
Participant 15,Label(4),C,Pointing+SR(2),D,Pointing(3),A,FD+SR(1),B
Participant 16,Pointing(3),D,Label(4),A,FD+SR(1),B,Pointing+SR(2),C
Participant 17,FD+SR(1),A,Pointing(3),B,Pointing+SR(2),C,Label(4),D
Participant 18,Pointing+SR(2),B,FD+SR(1),C,Label(4),D,Pointing(3),A
Participant 19,Label(4),C,Pointing+SR(2),D,Pointing(3),A,FD+SR(1),B
Participant 20,Pointing(3),D,Label(4),A,FD+SR(1),B,Pointing+SR(2),C
Participant 21,FD+SR(1),A,Pointing(3),B,Pointing+SR(2),C,Label(4),D
Participant 22,Pointing+SR(2),B,FD+SR(1),C,Label(4),D,Pointing(3),A
Participant 23,Label(4),C,Pointing+SR(2),D,Pointing(3),A,FD+SR(1),B
Participant 24,Pointing(3),D,Label(4),A,FD+SR(1),B,Pointing+SR(2),C
