Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4,Condition 1_ConditionNum,Condition 2_ConditionNum,Condition 3_ConditionNum,Condition 4_ConditionNum
P1,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1,3,2,4
P2,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2,1,4,3
P3,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4,2,3,1
P4,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3,4,1,2
P5,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1,3,2,4
P6,Pointing+空間参照,D,ポインティングだけ,A,ラベル,B,空間参照だけ,C,3,2,4,1
P7,空間参照だけ,C,ラベル,D,ポインティングだけ,A,Pointing+空間参照,B,1,4,2,3
P8,ラベル,B,Pointing+空間参照,C,空間参照だけ,D,ポインティングだけ,A,4,3,1,2
P9,ポインティングだけ,A,空間参照だけ,B,Pointing+空間参照,C,ラベル,D,2,1,3,4
P10,ラベル,A,Pointing+空間参照,B,空間参照だけ,C,ポインティングだけ,D,4,3,1,2
P11,ポインティングだけ,B,空間参照だけ,C,Pointing+空間参照,D,ラベル,A,2,1,3,4
P12,空間参照だけ,D,ラベル,A,ポインティングだけ,B,Pointing+空間参照,C,1,4,2,3
P13,Pointing+空間参照,C,ポインティングだけ,D,ラベル,A,空間参照だけ,B,3,2,4,1
P14,Pointing+空間参照,C,ポインティングだけ,D,ラベル,A,空間参照だけ,B,3,2,4,1
P15,ポインティングだけ,B,空間参照だけ,C,Pointing+空間参照,D,ラベル,A,2,1,3,4
P16,ラベル,D,Pointing+空間参照,A,空間参照だけ,B,ポインティングだけ,C,4,3,1,2
P17,空間参照だけ,A,ラベル,B,ポインティングだけ,C,Pointing+空間参照,D,1,4,2,3
P18,ポインティングだけ,C,空間参照だけ,D,Pointing+空間参照,A,ラベル,B,2,1,3,4
P19,ラベル,D,Pointing+空間参照,A,空間参照だけ,B,ポインティングだけ,C,4,3,1,2
P20,空間参照だけ,A,ラベル,B,ポインティングだけ,C,Pointing+空間参照,D,1,4,2,3
P21,Pointing+空間参照,B,ポインティングだけ,C,ラベル,D,空間参照だけ,A,3,2,4,1
