ID,FreeDescription,FreeDescription2
P3,,ラベルを知っているとラベルで指示したくなる傾向にありました
P5,,VR の視界の範囲が、もう少し明確になればいいなと思った
P6,空間認識という点から、自身からの距離や方向が主要な情報として扱われる要素であるように感じるが、対象のライトの数が多く、同じような距離、方向に複数のライトがあった場合にそれらを区別するように指示を出すのが難しいように感じた。次に選択肢を視界に入るものに絞ることでライトの指定ができるが、視界の境界があいまいで、かつ処理の間一点を見つめ続けなければいけないことから身体的な負担も増加するように感じた。自然と指示が長くなることが多くなり、結果としてLLMの処理にかかる時間もほかのタスク時よりも比較的多くなるようにも感じた。家庭内などライトがそこまで多くない環境ではある程度性能が発揮されるかもしれないが、ライトの数や配置で難易度が増大し汎用性が下がるように感じた。,対象が1つである場合や一か所に固まっている場合は、視界の中心を使うことで比較的簡単に指定することができるが、範囲が広がると視界におさめるのが困難になり、複雑になるように感じた。
P7,自分の視界を基準とすることで正確に操作をすることができるが、身体的な負担が大きくなるという懸念がある,"ライトの数が限られている場合はミスは少なくなると感じた。
言葉の認識能力が少し低いと感じました。"
P8,,送信した内容の意図と異なる結果になったのが使いづらい原因でした。同じ言葉を使っても、異なる結果になることがあり困惑しました。
P9,,棚の電気をつけるタスクで2段目と言うと3段目の電気がついたところであまり数字に強くないのではないかと思った
P10,「正面」の認識精度が悪い。ずれていると感じた。,shelf lightの認識精度が非常に低い。ストレスであった。
P11,照明の位置を覚えて命令するよりも直感的なので慣れれば、2つ目の位置を覚えるやり方よりも使いやすくなると思います,マシンが理解してくれる説明の仕方をこちらがマスターすれば使いやすくなると思いました
P12,ライトが複数ある環境で、この操作使いずらいと思いました。一般の家庭なら便利に使えると思いました,言葉だけで指定するのは、複数選択するときに難しい。このパターンだと、言語で指定すのをすごく不便に感じた。今回のタスクのように、複数のライト、色を様々なパターンで点灯するのは、個別の名称がないと難しいだろう。
P13,真ん中といったときに自分が思った配列の真ん中でなく部屋の真ん中として認識されたタスクがあったのが気になった,
P19,「視界の中央」が一番通りやすかったので、数が少ないものは全部それでやりました,
P20,"使いやすかったが、本当にこの指示で大丈夫なのか自信を持てないときもあった。
また、意図しない電気がついてしまうこともあった
しかし、まとめてつけれられるのはとても便利に感じた",
P21,部屋の状態を理解しているのか不安になった。,
P22,自分の相対的な位置から、特定のライトの場所を例えば、右奥、上などの指示をしてみてもあまり精度の良い結果が得られなかった。複数のライトを同時に点けるための指示はあまり精度がよくなく、ただし、一つまたは二つのライトの場所を同時に指示することは正確に動いた。,
P23,連続して並んでいるが、異なる色のライトをつけるタスクは特に難しかった。これなら各ライトに名称をつけるタスクの方がやりやすいと感じた。,
