タイムスタンプ,ID,Student ID (学籍番号),Age (年齢),Gender (性別),母国語,システム使用言語,システム使用言語のレベル,  Do you own a smart speaker?  （スマートスピーカーを所有していますか？）,"If yes, which type?(所有している場合は、機種を)",Do you regularly use smart home devices?　(スマート家電を日常的に使っていますか？),How have you operated smart home devices? (スマート家電の操作方法として使ったことがあるもの)
2025/06/20 19:30:55,P1,82418785,23,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,なし
2025/06/23 17:29:07,P2,82518004,22,Male （男性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,無し
2025/06/23 19:09:22,P3,82346968,27,Female （女性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/06/25 13:37:11,P4,62213742,21,Male （男性）,Japanese,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Voice Control (音声認識)
2025/06/25 15:47:42,P5,62214418,21,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/06/25 19:33:39,P6,1,26,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/06/26 13:04:19,P7,62205915,21,Male （男性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Voice Control (音声認識)
2025/06/26 15:36:13,P8,82517984,22,Male （男性）,日本語,日本語,5,Yes (はい),Alexa echo show8,Several times a week (2–4 days per week) （1週間に数日）,Voice Control (音声認識)
2025/06/26 17:36:27,P9,62206242,21,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,なし
2025/06/26 19:46:12,P10,82547179,24,Male （男性）,Japanese,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/06/27 11:55:46,P11,62209443,21,Male （男性）,日本語,日本語,5,Yes (はい),アレクサ,Several times a week (2–4 days per week) （1週間に数日）,Voice Control (音声認識)
2025/06/27 14:19:58,P12,82517809,23,Female （女性）,Japanese,日本語,5,No (いいえ),,Never used （使ったことない）,なし
