row_id,participant,condition,SUS,NASA_Mental,NASA_Physical,NASA_Temporal,NASA_Performance,NASA_Effort,NASA_Frustration,NASA_Overall,TAM_PEOU,TAM_PU,TAM,TPA
1,P1,SR,45.0,13.0,15.0,10.0,15.0,16.0,13.0,13.666666666666666,2.8333333333333335,3.6666666666666665,3.25,4.166666666666667
2,P1,P+SR,65.0,8.0,12.0,8.0,17.0,15.0,7.0,11.166666666666666,4.666666666666667,4.5,4.583333333333333,5.416666666666667
3,P1,Pointing,72.5,11.0,13.0,8.0,18.0,13.0,11.0,12.333333333333334,5.333333333333333,4.166666666666667,4.75,5.583333333333333
4,P1,Label,55.0,15.0,13.0,13.0,15.0,14.0,12.0,13.666666666666666,4.666666666666667,4.5,4.583333333333333,5.75
5,P10,SR,40.0,17.0,17.0,5.0,7.0,11.0,21.0,13.0,4.333333333333333,2.8333333333333335,3.5833333333333335,2.3333333333333335
6,P10,P+SR,97.5,1.0,1.0,1.0,21.0,1.0,1.0,4.333333333333333,7.0,7.0,7.0,6.833333333333333
7,P10,Pointing,100.0,1.0,14.0,1.0,21.0,12.0,2.0,8.5,6.666666666666667,7.0,6.833333333333333,7.0
8,P10,Label,62.5,11.0,4.0,4.0,21.0,14.0,1.0,9.166666666666666,5.0,6.0,5.5,6.833333333333333
9,P11,SR,62.5,3.0,6.0,4.0,13.0,6.0,5.0,6.166666666666667,5.0,6.0,5.5,4.5
10,P11,P+SR,87.5,2.0,2.0,2.0,19.0,3.0,2.0,5.0,6.333333333333333,6.0,6.166666666666667,6.083333333333333
11,P11,Pointing,67.5,5.0,4.0,2.0,18.0,8.0,2.0,6.5,5.0,6.0,5.5,5.416666666666667
12,P11,Label,62.5,11.0,8.0,6.0,12.0,15.0,13.0,10.833333333333334,4.666666666666667,5.0,4.833333333333333,4.5
13,P12,SR,22.5,19.0,14.0,1.0,1.0,17.0,20.0,12.0,3.8333333333333335,4.833333333333333,4.333333333333333,2.5833333333333335
14,P12,P+SR,90.0,1.0,1.0,1.0,21.0,8.0,3.0,5.833333333333333,7.0,7.0,7.0,7.0
15,P12,Pointing,100.0,3.0,3.0,1.0,21.0,5.0,1.0,5.666666666666667,7.0,7.0,7.0,7.0
16,P12,Label,55.0,10.0,1.0,1.0,15.0,1.0,15.0,7.166666666666667,6.166666666666667,6.0,6.083333333333333,6.583333333333333
17,P13,SR,57.5,8.0,16.0,6.0,13.0,5.0,11.0,9.833333333333334,4.166666666666667,3.1666666666666665,3.6666666666666665,5.583333333333333
18,P13,P+SR,87.5,4.0,8.0,1.0,17.0,5.0,2.0,6.166666666666667,6.166666666666667,5.833333333333333,6.0,6.833333333333333
19,P13,Pointing,70.0,6.0,13.0,7.0,14.0,4.0,8.0,8.666666666666666,6.166666666666667,4.833333333333333,5.5,6.25
20,P13,Label,22.5,19.0,21.0,15.0,8.0,17.0,16.0,16.0,2.5,2.6666666666666665,2.5833333333333335,4.75
21,P14,SR,57.5,11.0,7.0,8.0,15.0,18.0,16.0,12.5,5.666666666666667,5.166666666666667,5.416666666666667,6.0
22,P14,P+SR,62.5,16.0,17.0,7.0,14.0,10.0,10.0,12.333333333333334,4.666666666666667,5.166666666666667,4.916666666666667,5.583333333333333
23,P14,Pointing,70.0,14.0,19.0,7.0,19.0,14.0,7.0,13.333333333333334,6.333333333333333,4.666666666666667,5.5,5.666666666666667
24,P14,Label,40.0,18.0,7.0,7.0,17.0,18.0,18.0,14.166666666666666,5.333333333333333,6.333333333333333,5.833333333333333,5.416666666666667
25,P15,SR,37.5,14.0,14.0,10.0,5.0,15.0,8.0,11.0,2.8333333333333335,5.833333333333333,4.333333333333333,3.8333333333333335
26,P15,P+SR,72.5,6.0,12.0,9.0,16.0,11.0,12.0,11.0,6.0,6.0,6.0,5.5
27,P15,Pointing,90.0,7.0,15.0,9.0,16.0,4.0,12.0,10.5,4.666666666666667,5.0,4.833333333333333,5.666666666666667
28,P15,Label,37.5,18.0,15.0,17.0,8.0,17.0,19.0,15.666666666666666,3.8333333333333335,2.8333333333333335,3.3333333333333335,3.5
29,P16,SR,60.0,13.0,9.0,7.0,12.0,13.0,9.0,10.5,5.0,4.333333333333333,4.666666666666667,4.0
30,P16,P+SR,87.5,5.0,11.0,7.0,18.0,6.0,8.0,9.166666666666666,5.333333333333333,4.833333333333333,5.083333333333333,5.5
31,P16,Pointing,62.5,10.0,10.0,7.0,15.0,8.0,10.0,10.0,5.166666666666667,5.0,5.083333333333333,4.416666666666667
32,P16,Label,67.5,6.0,15.0,7.0,17.0,13.0,8.0,11.0,4.0,4.333333333333333,4.166666666666667,4.333333333333333
33,P17,SR,60.0,11.0,9.0,3.0,12.0,13.0,8.0,9.333333333333334,4.166666666666667,4.333333333333333,4.25,4.75
34,P17,P+SR,87.5,3.0,6.0,3.0,17.0,7.0,5.0,6.833333333333333,6.166666666666667,6.333333333333333,6.25,5.833333333333333
35,P17,Pointing,75.0,4.0,5.0,6.0,15.0,7.0,5.0,7.0,5.333333333333333,5.833333333333333,5.583333333333333,5.666666666666667
36,P17,Label,45.0,13.0,7.0,7.0,8.0,14.0,12.0,10.166666666666666,2.6666666666666665,3.8333333333333335,3.25,4.583333333333333
37,P18,SR,47.5,18.0,1.0,10.0,9.0,20.0,10.0,11.333333333333334,4.5,5.0,4.75,5.166666666666667
