participant,condition,SUS,NASA_Mental,NASA_Physical,NASA_Temporal,NASA_Performance,NASA_Effort,NASA_Frustration,NASA_Overall
P1,SR,57.5,13.0,15.0,10.0,15.0,16.0,13.0,13.666666666666666
P1,P+SR,77.5,8.0,12.0,8.0,17.0,15.0,7.0,11.166666666666666
P1,Pointing,85.0,11.0,13.0,8.0,18.0,13.0,11.0,12.333333333333334
P1,Label,67.5,15.0,13.0,13.0,15.0,14.0,12.0,13.666666666666666
P2,P+SR,112.5,2.0,2.0,1.0,19.0,9.0,1.0,5.666666666666667
P2,Pointing,112.5,4.0,4.0,2.0,21.0,10.0,1.0,7.0
P2,Label,72.5,15.0,7.0,6.0,21.0,18.0,7.0,12.333333333333334
P2,SR,45.0,21.0,18.0,6.0,10.0,21.0,10.0,14.333333333333334
P3,Pointing,100.0,3.0,3.0,1.0,20.0,6.0,3.0,6.0
P3,Label,85.0,6.0,4.0,2.0,18.0,12.0,4.0,7.666666666666667
P3,SR,67.5,14.0,13.0,4.0,9.0,16.0,6.0,10.333333333333334
P3,P+SR,85.0,3.0,3.0,1.0,20.0,5.0,2.0,5.666666666666667
P4,Label,42.5,17.0,13.0,7.0,17.0,19.0,17.0,15.0
P4,SR,75.0,10.0,9.0,5.0,18.0,8.0,12.0,10.333333333333334
P4,P+SR,110.0,4.0,5.0,4.0,19.0,5.0,4.0,6.833333333333333
P4,Pointing,100.0,3.0,3.0,3.0,20.0,3.0,3.0,5.833333333333333
P5,SR,65.0,5.0,2.0,1.0,15.0,16.0,8.0,7.833333333333333
P5,P+SR,100.0,1.0,3.0,1.0,17.0,6.0,2.0,5.0
P5,Pointing,90.0,11.0,5.0,14.0,20.0,13.0,11.0,12.333333333333334
P5,Label,42.5,14.0,7.0,5.0,15.0,21.0,6.0,11.333333333333334
P6,P+SR,92.5,5.0,4.0,3.0,19.0,8.0,5.0,7.333333333333333
P6,Pointing,107.5,7.0,6.0,3.0,20.0,3.0,9.0,8.0
P6,Label,85.0,13.0,3.0,2.0,16.0,11.0,10.0,9.166666666666666
P6,SR,65.0,17.0,19.0,5.0,13.0,19.0,14.0,14.5
P7,Pointing,95.0,3.0,8.0,4.0,19.0,3.0,2.0,6.5
P7,Label,47.5,15.0,3.0,15.0,5.0,20.0,13.0,11.833333333333334
P7,SR,57.5,16.0,17.0,7.0,8.0,6.0,16.0,11.666666666666666
P7,P+SR,87.5,3.0,3.0,1.0,20.0,10.0,3.0,6.666666666666667
P8,Label,87.5,6.0,5.0,1.0,19.0,4.0,6.0,6.833333333333333
P8,SR,77.5,9.0,9.0,1.0,15.0,13.0,9.0,9.333333333333334
P8,P+SR,90.0,6.0,7.0,1.0,19.0,5.0,4.0,7.0
P8,Pointing,82.5,7.0,7.0,3.0,19.0,6.0,7.0,8.166666666666666
P9,SR,65.0,15.0,10.0,5.0,10.0,15.0,12.0,11.166666666666666
P9,P+SR,102.5,5.0,13.0,5.0,20.0,10.0,5.0,9.666666666666666
P9,Pointing,102.5,8.0,12.0,5.0,20.0,8.0,5.0,9.666666666666666
P9,Label,52.5,15.0,10.0,5.0,10.0,15.0,12.0,11.166666666666666
P10,SR,52.5,17.0,17.0,5.0,7.0,11.0,21.0,13.0
P10,Label,75.0,11.0,4.0,4.0,21.0,14.0,1.0,9.166666666666666
P10,Pointing,112.5,1.0,14.0,1.0,21.0,12.0,2.0,8.5
P10,P+SR,110.0,1.0,1.0,1.0,21.0,1.0,1.0,4.333333333333333
P11,Pointing,80.0,5.0,4.0,2.0,18.0,8.0,2.0,6.5
P11,Label,75.0,11.0,8.0,6.0,12.0,15.0,13.0,10.833333333333334
P11,SR,75.0,3.0,6.0,4.0,13.0,6.0,5.0,6.166666666666667
P11,P+SR,100.0,2.0,2.0,2.0,19.0,3.0,2.0,5.0
P12,Label,67.5,10.0,1.0,1.0,15.0,1.0,15.0,7.166666666666667
P12,SR,35.0,19.0,14.0,1.0,1.0,17.0,20.0,12.0
P12,P+SR,102.5,1.0,1.0,1.0,21.0,8.0,3.0,5.833333333333333
P12,Pointing,112.5,3.0,3.0,1.0,21.0,5.0,1.0,5.666666666666667
P13,SR,70.0,8.0,16.0,6.0,13.0,5.0,11.0,9.833333333333334
P13,P+SR,100.0,4.0,8.0,1.0,17.0,5.0,2.0,6.166666666666667
P13,Pointing,82.5,6.0,13.0,7.0,14.0,4.0,8.0,8.666666666666666
P13,Label,35.0,19.0,21.0,15.0,8.0,17.0,16.0,16.0
P14,P+SR,75.0,16.0,17.0,7.0,14.0,10.0,10.0,12.333333333333334
P14,Pointing,82.5,14.0,19.0,7.0,19.0,14.0,7.0,13.333333333333334
P14,Label,52.5,18.0,7.0,7.0,17.0,18.0,18.0,14.166666666666666
P14,SR,70.0,11.0,7.0,8.0,15.0,18.0,16.0,12.5
P15,Pointing,102.5,7.0,15.0,9.0,16.0,4.0,12.0,10.5
P15,Label,50.0,18.0,15.0,17.0,8.0,17.0,19.0,15.666666666666666
P15,SR,50.0,14.0,14.0,10.0,5.0,15.0,8.0,11.0
P15,P+SR,85.0,6.0,12.0,9.0,16.0,11.0,12.0,11.0
P16,Label,80.0,6.0,15.0,7.0,17.0,13.0,8.0,11.0
P16,SR,72.5,13.0,9.0,7.0,12.0,13.0,9.0,10.5
P16,P+SR,100.0,5.0,11.0,7.0,18.0,6.0,8.0,9.166666666666666
P16,Pointing,75.0,10.0,10.0,7.0,15.0,8.0,10.0,10.0
P17,SR,72.5,11.0,9.0,3.0,12.0,13.0,8.0,9.333333333333334
P17,P+SR,100.0,3.0,6.0,3.0,17.0,7.0,5.0,6.833333333333333
P17,Pointing,87.5,4.0,5.0,6.0,15.0,7.0,5.0,7.0
P17,Label,57.5,13.0,7.0,7.0,8.0,14.0,12.0,10.166666666666666
P18,P+SR,110.0,3.0,4.0,1.0,21.0,4.0,1.0,5.666666666666667
P18,Pointing,97.5,1.0,10.0,1.0,21.0,10.0,5.0,8.0
P18,Label,55.0,15.0,7.0,5.0,21.0,21.0,10.0,13.166666666666666
P18,SR,60.0,18.0,1.0,10.0,9.0,20.0,10.0,11.333333333333334
P19,Pointing,72.5,5.0,3.0,2.0,15.0,5.0,7.0,6.166666666666667
P19,Label,55.0,7.0,1.0,1.0,11.0,5.0,3.0,4.666666666666667
P19,SR,47.5,15.0,15.0,1.0,7.0,7.0,15.0,10.0
P19,P+SR,87.5,1.0,3.0,1.0,15.0,3.0,3.0,4.333333333333333
P20,Label,30.0,18.0,15.0,13.0,12.0,17.0,20.0,15.833333333333334
P20,SR,97.5,8.0,11.0,2.0,13.0,5.0,6.0,7.5
P20,P+SR,107.5,3.0,13.0,3.0,15.0,2.0,2.0,6.333333333333333
P20,Pointing,70.0,13.0,17.0,7.0,18.0,3.0,12.0,11.666666666666666
P21,SR,72.5,16.0,18.0,4.0,13.0,3.0,15.0,11.5
P21,P+SR,70.0,7.0,19.0,6.0,19.0,10.0,10.0,11.833333333333334
P21,Pointing,85.0,15.0,7.0,4.0,13.0,7.0,4.0,8.333333333333334
P21,Label,82.5,2.0,2.0,1.0,16.0,17.0,10.0,8.0
P22,Pointing,77.5,3.0,14.0,10.0,18.0,11.0,10.0,11.0
P22,P+SR,52.5,9.0,15.0,6.0,14.0,16.0,14.0,12.333333333333334
P22,Label,45.0,15.0,14.0,11.0,14.0,16.0,16.0,14.333333333333334
P22,SR,45.0,16.0,17.0,10.0,9.0,18.0,17.0,14.5
P23,Pointing,97.5,3.0,3.0,3.0,20.0,5.0,3.0,6.166666666666667
P23,Label,52.5,15.0,10.0,5.0,10.0,12.0,12.0,10.666666666666666
P23,SR,55.0,15.0,15.0,12.0,12.0,17.0,15.0,14.333333333333334
P23,P+SR,90.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P24,Label,55.0,10.0,17.0,6.0,6.0,11.0,8.0,9.666666666666666
P24,SR,72.5,6.0,10.0,8.0,4.0,16.0,7.0,8.5
P24,P+SR,85.0,7.0,5.0,12.0,14.0,10.0,6.0,9.0
P24,Pointing,70.0,11.0,10.0,7.0,10.0,14.0,11.0,10.5
