condition,metric,value,stat,metric
SR,SUS_median,52.5,median,SUS
P+SR,SUS_median,83.75,median,SUS
Pointing,SUS_median,76.25,median,SUS
Label,SUS_median,42.5,median,SUS
SR,SUS_mean,50.9375,mean,SUS
P+SR,SUS_mean,80.52083333333333,mean,SUS
Pointing,SUS_mean,78.33333333333333,mean,SUS
Label,SUS_mean,47.91666666666666,mean,SUS
SR,SUS_sd,13.609709210067962,,SUS_sd
P+SR,SUS_sd,14.57699137463667,,SUS_sd
Pointing,SUS_sd,13.62675331093586,,SUS_sd
Label,SUS_sd,16.805580508625226,,SUS_sd
SR,SUS_n,24.0,,SUS_n
P+SR,SUS_n,24.0,,SUS_n
Pointing,SUS_n,24.0,,SUS_n
Label,SUS_n,24.0,,SUS_n
SR,TAM_Total_median,4.291666666666666,median,TAM_Total
P+SR,TAM_Total_median,6.0,median,TAM_Total
Pointing,TAM_Total_median,5.5,median,TAM_Total
Label,TAM_Total_median,3.833333333333333,median,TAM_Total
SR,TAM_Total_mean,4.215277777777778,mean,TAM_Total
P+SR,TAM_Total_mean,5.940972222222221,mean,TAM_Total
Pointing,TAM_Total_mean,5.513888888888888,mean,TAM_Total
Label,TAM_Total_mean,4.027777777777778,mean,TAM_Total
SR,TAM_Total_sd,1.0358654887527867,,TAM_Total_sd
P+SR,TAM_Total_sd,0.8403613664656336,,TAM_Total_sd
Pointing,TAM_Total_sd,0.8557374798736747,,TAM_Total_sd
Label,TAM_Total_sd,1.3027902670311808,,TAM_Total_sd
SR,TAM_Total_n,24.0,,TAM_Total_n
P+SR,TAM_Total_n,24.0,,TAM_Total_n
Pointing,TAM_Total_n,24.0,,TAM_Total_n
Label,TAM_Total_n,24.0,,TAM_Total_n
SR,TPA_Total_median,4.083333333333334,median,TPA_Total
P+SR,TPA_Total_median,6.041666666666666,median,TPA_Total
Pointing,TPA_Total_median,6.125,median,TPA_Total
Label,TPA_Total_median,4.791666666666666,median,TPA_Total
SR,TPA_Total_mean,4.298611111111112,mean,TPA_Total
P+SR,TPA_Total_mean,6.0243055555555545,mean,TPA_Total
Pointing,TPA_Total_mean,6.125,mean,TPA_Total
Label,TPA_Total_mean,4.916666666666667,mean,TPA_Total
SR,TPA_Total_sd,1.1818158944495505,,TPA_Total_sd
P+SR,TPA_Total_sd,0.696557774699532,,TPA_Total_sd
Pointing,TPA_Total_sd,0.7554152327780023,,TPA_Total_sd
