subj_metric,obj_metric,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_holm,spearman_p_bh,pearson_p_holm,pearson_p_bh
SUS_mean,logT_mean,4,-0.6000000000000001,0.3999999999999999,-0.8692920265887147,0.13070797341128526,1.0,0.6736842105263157,1.0,0.40493858015265766
SUS_mean,logT_median,4,-0.6000000000000001,0.3999999999999999,-0.9190642453524286,0.0809357546475713,1.0,0.6736842105263157,1.0,0.36999202124604025
SUS_mean,T_task_sec_mean,4,-0.6000000000000001,0.3999999999999999,-0.8270317478594146,0.1729682521405853,1.0,0.6736842105263157,1.0,0.4427987254798984
SUS_mean,T_task_sec_median,4,-0.6000000000000001,0.3999999999999999,-0.8974967809481321,0.10250321905186777,1.0,0.6736842105263157,1.0,0.38589447172467867
SUS_mean,N_cmds_mean,4,-0.39999999999999997,0.6,-0.40142376084331205,0.598576239156688,1.0,0.7384615384615384,1.0,0.744912903573819
SUS_mean,N_cmds_median,4,-0.316227766016838,0.683772233983162,-0.3139105989859282,0.6860894010140717,1.0,0.7814539816950423,1.0,0.7841021725875105
SUS_mean,N_actuations_mean,4,-0.39999999999999997,0.6,-0.6088731701971758,0.3911268298028241,1.0,0.7384615384615384,1.0,0.6258029276845185
SUS_mean,N_actuations_median,4,-0.19999999999999998,0.8,0.1362252850872927,0.8637747149127073,1.0,0.8258064516129032,1.0,0.9493800033871342
SUS_median,logT_mean,4,-0.6000000000000001,0.3999999999999999,-0.7722011798824597,0.22779882011754027,1.0,0.6736842105263157,1.0,0.48597081625075256
SUS_median,logT_median,4,-0.6000000000000001,0.3999999999999999,-0.8366997207702369,0.1633002792297631,1.0,0.6736842105263157,1.0,0.44237837567158894
SUS_median,T_task_sec_mean,4,-0.6000000000000001,0.3999999999999999,-0.7232376338939089,0.27676236610609095,1.0,0.6736842105263157,1.0,0.5367512554784795
SUS_median,T_task_sec_median,4,-0.6000000000000001,0.3999999999999999,-0.8099263780132404,0.1900736219867596,1.0,0.6736842105263157,1.0,0.4505448817463931
SUS_median,N_cmds_mean,4,-0.39999999999999997,0.6,-0.42597851169921624,0.5740214883007837,1.0,0.7384615384615384,1.0,0.744912903573819
SUS_median,N_cmds_median,4,-0.316227766016838,0.683772233983162,-0.33570406630727107,0.664295933692729,1.0,0.7814539816950423,1.0,0.7729989046606301
SUS_median,N_actuations_mean,4,-0.39999999999999997,0.6,-0.6238073369387147,0.3761926630612853,1.0,0.7384615384615384,1.0,0.6173418060492887
SUS_median,N_actuations_median,4,-0.19999999999999998,0.8,0.06273323266748673,0.9372667673325132,1.0,0.8258064516129032,1.0,0.9926080321259216
TAM_Total_mean,logT_mean,4,-0.6000000000000001,0.3999999999999999,-0.8341081091231541,0.16589189087684586,1.0,0.6736842105263157,1.0,0.44237837567158894
TAM_Total_mean,logT_median,4,-0.6000000000000001,0.3999999999999999,-0.8854450264120987,0.11455497358790145,1.0,0.6736842105263157,1.0,0.40493858015265766
TAM_Total_mean,T_task_sec_mean,4,-0.6000000000000001,0.3999999999999999,-0.7965505176278158,0.2034494823721842,1.0,0.6736842105263157,1.0,0.46502738827927814
TAM_Total_mean,T_task_sec_median,4,-0.6000000000000001,0.3999999999999999,-0.8671295283874092,0.1328704716125908,1.0,0.6736842105263157,1.0,0.40493858015265766
