Condition,Subjective,Objective,ρ,p
SR,SUS,T_task_sec,0.078,0.7182
SR,SUS,N_cmds,-0.129,0.5468
SR,SUS,avg_cmd_time,0.178,0.4051
SR,TAM,T_task_sec,0.066,0.7585
SR,TAM,N_cmds,-0.222,0.2961
SR,TAM,avg_cmd_time,0.211,0.3217
SR,TPA,T_task_sec,-0.101,0.6371
SR,TPA,N_cmds,-0.22,0.3027
SR,TPA,avg_cmd_time,0.184,0.3889
SR,NASA_Overall,T_task_sec,0.122,0.5706
SR,NASA_Overall,N_cmds,0.124,0.5638
SR,NASA_Overall,avg_cmd_time,0.003,0.9887
P+SR,SUS,T_task_sec,-0.415,0.0435
P+SR,SUS,N_cmds,0.165,0.4413
P+SR,SUS,avg_cmd_time,-0.455,0.0255
P+SR,TAM,T_task_sec,-0.326,0.1201
P+SR,TAM,N_cmds,-0.008,0.9712
P+SR,TAM,avg_cmd_time,-0.394,0.0571
P+SR,TPA,T_task_sec,-0.141,0.5117
P+SR,TPA,N_cmds,0.153,0.475
P+SR,TPA,avg_cmd_time,-0.176,0.4116
P+SR,NASA_Overall,T_task_sec,0.419,0.0416
P+SR,NASA_Overall,N_cmds,-0.101,0.6374
P+SR,NASA_Overall,avg_cmd_time,0.333,0.1119
Pointing,SUS,T_task_sec,-0.135,0.5289
Pointing,SUS,N_cmds,-0.06,0.7791
Pointing,SUS,avg_cmd_time,-0.407,0.0483
Pointing,TAM,T_task_sec,-0.323,0.1234
Pointing,TAM,N_cmds,-0.121,0.5737
Pointing,TAM,avg_cmd_time,-0.337,0.1071
Pointing,TPA,T_task_sec,-0.251,0.2376
Pointing,TPA,N_cmds,0.167,0.4348
Pointing,TPA,avg_cmd_time,-0.294,0.1632
Pointing,NASA_Overall,T_task_sec,-0.127,0.5553
Pointing,NASA_Overall,N_cmds,0.015,0.9442
Pointing,NASA_Overall,avg_cmd_time,-0.026,0.9052
Label,SUS,T_task_sec,-0.17,0.4381
Label,SUS,N_cmds,-0.137,0.5341
Label,SUS,avg_cmd_time,0.005,0.9821
Label,TAM,T_task_sec,-0.229,0.2923
Label,TAM,N_cmds,-0.24,0.271
Label,TAM,avg_cmd_time,0.007,0.9732
Label,TPA,T_task_sec,-0.369,0.0832
Label,TPA,N_cmds,-0.434,0.0383
Label,TPA,avg_cmd_time,-0.005,0.9821
Label,NASA_Overall,T_task_sec,0.094,0.6684
Label,NASA_Overall,N_cmds,0.056,0.8004
Label,NASA_Overall,avg_cmd_time,-0.052,0.8141
