section,table,metric,friedman_chi2,friedman_p,N,condition,median,Q1,Q3,mean,sd,pair,n,W,p_raw,p_holm,effect_r,term,beta,ci_low,ci_high,pct_change,IRR,IRR_low,IRR_high,family,est,se,z,IRR_ratio,beta_reduced,beta_full,shrink,colors,est_logT,time_ratio_PSR/Pointing,y,x,rho,p,key,value
Friedman/Wilcoxon,friedman_summary,T_task_sec,47.50434782608693,2.7148027163354976e-10,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,descriptive_by_condition,T_task_sec,,,,SR,63.105976,56.856808799999996,85.67224382500001,76.39101124999999,35.35030279210944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,descriptive_by_condition,T_task_sec,,,,P+SR,37.329700450000004,29.205292925000002,43.0170026,39.03488720869566,14.263984020850653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,descriptive_by_condition,T_task_sec,,,,Pointing,34.54595125,28.034256475,37.95558835,35.17375840217392,9.855336506138055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,descriptive_by_condition,T_task_sec,,,,Label,51.547725650000004,40.90669735,64.85410329999999,54.09209941304347,17.160900349756126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,T_task_sec,,,,,,,,,,SR vs P+SR,23.0,2.0,7.152557373046875e-07,3.5762786865234375e-06,0.8625060366832027,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,T_task_sec,,,,,,,,,,SR vs Pointing,23.0,0.0,2.384185791015625e-07,1.430511474609375e-06,0.8751899489873676,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,T_task_sec,,,,,,,,,,SR vs Label,23.0,42.0,0.0024156570434570312,0.0048313140869140625,0.6088277905999078,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,T_task_sec,,,,,,,,,,P+SR vs Pointing,23.0,111.0,0.4274179935455322,0.4274179935455322,0.17123281610622407,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,T_task_sec,,,,,,,,,,P+SR vs Label,23.0,29.0,0.00040793418884277344,0.0012238025665283203,0.6912732205769787,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,pairwise_wilcoxon_holm,T_task_sec,,,,,,,,,,Pointing vs Label,23.0,13.0,2.09808349609375e-05,8.392333984375e-05,0.7927445190102966,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,friedman_summary,N_cmds,26.777777777777743,6.5539204249086584e-06,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,descriptive_by_condition,N_cmds,,,,SR,2.0,1.75,2.0,2.0652173913043477,0.9207747210672769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedman/Wilcoxon,descriptive_by_condition,N_cmds,,,,P+SR,1.0,1.0,1.0,1.1521739130434783,0.4630624984495674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
