participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
1,Label,37.110132,1.0,3.0,
1,P+SR,29.34043355,1.0,3.0,
1,Pointing,35.3628968,2.0,3.0,
1,SR,53.02343735,2.0,2.0,
2,P+SR,24.1361475,1.5,3.0,
2,Pointing,19.24118,2.0,3.0,
2,SR,63.921052,2.0,3.5,
3,Label,67.67966,3.0,3.0,
3,P+SR,38.97657965,1.0,3.0,
3,Pointing,38.49320985,2.0,2.0,
3,SR,97.60212,2.5,4.5,
4,Label,66.34481,1.0,3.0,
4,P+SR,33.93081665,1.0,3.0,
4,Pointing,31.81588745,2.0,3.0,
4,SR,67.367615,2.0,2.5,
5,Label,35.2947197,2.0,2.0,
5,P+SR,26.17894455,1.0,3.0,
5,Pointing,28.470276849999998,2.0,3.0,
5,SR,39.11663059999999,1.0,2.0,
6,Label,46.216809,1.0,3.0,
6,P+SR,69.4239977,3.0,3.0,
6,Pointing,27.5982361,2.0,3.0,
6,SR,61.741683300000005,1.5,2.0,
7,Label,87.81042500000001,2.5,3.0,
7,P+SR,34.44792115,1.0,3.0,
7,Pointing,41.9771767,2.0,3.0,
7,SR,52.5272364,2.0,2.0,
8,Label,51.547725650000004,1.0,3.0,
8,P+SR,44.30525805,2.0,2.0,
8,Pointing,47.635868099999996,2.0,3.0,
8,SR,60.774242400000006,1.0,3.0,
9,Label,39.5168235,1.0,3.0,
9,P+SR,36.4035368,1.0,2.0,
9,Pointing,28.8165331,2.0,3.0,
9,SR,150.034691,5.0,3.0,
10,Label,29.239619249999997,1.5,3.0,
10,P+SR,25.26997565,1.0,2.0,
10,Pointing,24.42605495,2.0,3.0,
10,SR,65.73001735,3.0,3.5,
11,Label,58.04819295,3.0,2.5,
11,P+SR,28.2876396,1.5,3.0,
11,Pointing,36.44527895,2.0,3.0,
11,SR,59.93359615,3.0,3.5,
12,Label,40.9228897,1.5,2.0,
12,P+SR,44.0569322,1.0,3.0,
12,Pointing,37.41796685,2.0,3.0,
12,SR,133.856979,2.0,3.0,
13,Label,77.26231235,2.5,3.0,
13,P+SR,60.9149933,1.0,3.0,
13,Pointing,55.6782913,2.0,2.0,
13,SR,179.5834655,2.0,3.0,
14,Label,34.003858550000004,1.0,3.0,
14,P+SR,38.289874999999995,1.0,2.0,
14,Pointing,24.66273975,2.0,3.0,
14,SR,76.357225,3.5,3.0,
15,Label,54.81072,2.0,2.5,
15,P+SR,44.3549479,1.0,3.0,
15,Pointing,46.58626365,2.0,3.0,
15,SR,80.67150495,2.0,3.5,
16,Label,41.286313199999995,1.5,3.0,
16,P+SR,23.1499443,1.0,3.0,
16,Pointing,24.15831755,2.0,2.0,
16,SR,69.58829,2.0,2.5,
17,Label,55.39857485,2.5,2.5,
17,P+SR,31.080024700000003,1.0,3.0,
17,Pointing,29.6255207,2.0,3.0,
17,SR,59.001661,2.0,3.0,
18,Label,42.186679850000004,2.0,3.0,
18,P+SR,29.0701523,1.0,3.0,
18,Pointing,25.444139,2.0,2.0,
18,SR,54.7119566,1.0,2.5,
19,Label,48.91708775,2.0,3.0,
19,P+SR,23.4566116,1.0,3.0,
19,Pointing,32.0068491,2.0,3.0,
19,SR,36.9146624,2.0,2.0,
20,Label,90.216105,2.0,3.0,
20,P+SR,37.973565,1.0,2.0,
20,Pointing,36.9626971,2.0,3.0,
20,SR,90.6729827,2.0,3.0,
21,Label,72.989,1.0,3.0,
21,P+SR,80.30791769999999,1.0,3.0,
21,Pointing,37.2990608,2.5,2.5,
21,SR,96.13899625,1.0,3.5,
22,Label,40.890505000000005,1.0,3.0,
22,P+SR,37.329700450000004,1.0,3.0,
22,Pointing,59.59526725,2.0,3.0,
22,SR,63.105976,2.0,2.5,
23,Label,63.06192659999999,1.5,3.0,
23,P+SR,39.275565,1.0,3.0,
23,Pointing,34.54595125,2.0,2.0,
23,SR,61.12376695,2.0,3.0,
24,Label,63.3633966,1.0,3.0,
24,P+SR,41.977073000000004,1.0,2.0,
24,Pointing,23.9719601,2.0,2.5,
24,SR,47.41452285,1.0,3.5,
