participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
1,SR,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,92.06196,4.5224618286251985,3,15,6,2,30.68732
1,SR,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,49.800087,3.908016731017033,1,4,4,3,49.800087
1,SR,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,55.4441147,4.015375571103025,2,3,2,2,27.72205735
1,SR,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,28.2178535,3.3399548804558927,1,1,1,1,28.2178535
1,SR,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,92.1722946,4.523659592997849,3,6,3,3,30.7240982
1,SR,137e922c-0877-46af-a797-5a32df2edf5d,94.04735,4.543798378848214,3,6,3,3,31.349116666666664
1,SR,f548cabb-2a47-4399-a702-f76d5d1336df,31.2542667,3.4421559012624376,2,3,2,1,15.62713335
1,SR,81c1a60b-c8ac-4a16-b831-1df68863e61e,84.8167953,4.440493580970023,3,6,3,2,28.2722651
1,SR,c87d383c-41db-4303-8615-9271bbf2465e,57.0979958,4.044769016221083,2,3,2,2,28.5489979
1,SR,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,29.4735222,3.3834923077619328,1,1,1,1,29.4735222
1,SR,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,50.60276,3.924006120260416,2,3,2,1,25.30138
1,SR,eee4a904-a6ad-4369-970f-b656e1f59f12,46.11376,3.8311113870276654,2,3,2,2,23.05688
1,P+SR,95479aa7-9c98-49e4-817e-727302518dae,34.9134521,3.5528722019341767,1,3,3,1,34.9134521
1,P+SR,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,93.4015045,4.536907453242107,1,4,4,2,93.4015045
1,P+SR,fcee09b7-efa4-4e87-956e-553ee7bb3648,22.82896,3.1280299054085963,1,2,2,1,22.82896
1,P+SR,1a84f2f7-1739-41af-94ae-9a3c6677e61d,27.5241356,3.315063277937602,1,3,3,2,27.5241356
1,P+SR,4f145d76-f69f-4547-90a7-56281733ca5b,30.08858,3.404145697770329,1,2,2,2,30.08858
1,P+SR,9e93766e-b621-4d6e-9927-173ac982bf3a,26.2445641,3.2674588856884528,1,2,2,2,26.2445641
1,P+SR,25c3ccdb-26c7-4109-bcfe-730434f9caa9,28.5922871,3.3531369996369444,1,2,2,1,28.5922871
1,P+SR,19e8d0a8-02bf-4644-9732-e4190e13825e,63.62015,4.152930244067354,2,6,4,2,31.810075
1,P+SR,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,28.4153919,3.3469309666652376,1,6,6,2,28.4153919
1,P+SR,4fd86244-384f-4a69-adc8-6fd13c16422c,31.2349129,3.441536472403147,1,3,3,3,31.2349129
1,P+SR,386be10f-0686-4118-928d-b57f06593b2f,63.2518272,4.147124015727913,2,5,3,2,31.6259136
1,P+SR,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,19.374506,2.963958078140169,1,1,1,1,19.374506
1,Pointing,7612d934-759d-4a55-9a58-ef65940b7162,52.0213661,3.951654520729131,3,6,3,3,17.340455366666667
1,Pointing,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,16.11647,2.779841730468012,1,1,1,1,16.11647
1,Pointing,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,38.9533424,3.6623645812152996,1,3,3,1,38.9533424
1,Pointing,04f5e376-2845-485a-8cb1-c38e3858ff8a,35.8074036,3.5781546764948318,2,6,4,2,17.9037018
1,Pointing,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,41.2814,3.720412035326898,2,6,4,2,20.6407
1,Pointing,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,40.26455,3.695471429225787,2,3,2,2,20.132275
