participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
1,Label,45.18023,2,3,
1,Label,38.279994,1,1,
1,Label,64.52007,1,4,
1,Label,32.119994,1,1,
1,Label,110.80046,6,4,
1,Label,20.04027,1,2,
1,Label,54.60008,3,9,
1,Label,21.04006,1,2,
1,Label,20.68005,1,3,
1,Label,80.179997,2,4,
1,Label,35.94027,1,3,
1,Label,19.70006,2,4,
1,Pointing,52.0213661,3,3,
1,Pointing,16.11647,1,1,
1,Pointing,38.9533424,1,3,
1,Pointing,35.8074036,2,4,
1,Pointing,41.2814,2,4,
1,Pointing,40.26455,2,2,
1,Pointing,25.8251057,2,4,
1,Pointing,34.91839,2,3,
1,Pointing,16.84917,1,1,
1,Pointing,28.73032,2,6,
1,Pointing,19.9321346,1,2,
1,Pointing,39.94463,3,6,
1,P+SR,34.9134521,1,3,
1,P+SR,93.4015045,1,4,
1,P+SR,22.82896,1,2,
1,P+SR,27.5241356,1,3,
1,P+SR,30.08858,1,2,
1,P+SR,26.2445641,1,2,
1,P+SR,28.5922871,1,2,
1,P+SR,63.62015,2,4,
1,P+SR,28.4153919,1,6,
1,P+SR,31.2349129,1,3,
1,P+SR,63.2518272,2,3,
1,P+SR,19.374506,1,1,
1,SR,92.06196,3,6,
1,SR,49.800087,1,4,
1,SR,55.4441147,2,2,
1,SR,28.2178535,1,1,
1,SR,92.1722946,3,3,
1,SR,94.04735,3,3,
1,SR,31.2542667,2,2,
1,SR,84.8167953,3,3,
1,SR,57.0979958,2,2,
1,SR,29.4735222,1,1,
1,SR,50.60276,2,2,
1,SR,46.11376,2,2,
10,P+SR,10.0790071,1,1,
10,P+SR,43.500927,3,4,
10,P+SR,26.4523144,1,3,
10,P+SR,37.3018036,1,6,
10,P+SR,10.8414,1,1,
10,P+SR,14.2941618,1,2,
10,P+SR,15.6493149,1,2,
10,P+SR,138.842117,4,3,
10,P+SR,17.7508488,1,2,
10,P+SR,32.89805,1,3,
10,P+SR,53.6768456,1,2,
10,P+SR,24.0876369,1,2,
10,Pointing,40.41314,3,9,
10,Pointing,29.69144,3,3,
10,Pointing,18.0844841,2,4,
10,Pointing,14.070364,1,1,
10,Pointing,28.3444977,2,4,
10,Pointing,15.5318642,1,4,
10,Pointing,22.759407,2,4,
10,Pointing,27.6603947,2,2,
10,Pointing,14.6964579,1,3,
10,Pointing,26.0927029,3,3,
10,Pointing,21.0893536,2,1,
10,Pointing,29.7057514,2,2,
10,Label,22.90212,1,2,
10,Label,52.5091,3,3,
10,Label,50.3995056,2,3,
10,Label,25.40648,1,3,
10,Label,50.9055748,2,2,
10,Label,26.2481251,1,2,
10,Label,22.28995,1,1,
10,Label,34.9136,2,4,
10,Label,34.382473,2,6,
10,Label,14.8778629,1,3,
10,Label,32.2311134,2,4,
10,Label,14.0510159,1,2,
10,SR,62.18814,2,4,
10,SR,63.45165,1,2,
10,SR,104.7255,4,6,
10,SR,41.00517,2,4,
10,SR,82.07072,4,6,
10,SR,85.3875351,6,3,
10,SR,55.9377823,3,1,
10,SR,177.497955,8,5,
10,SR,14.883955,1,1,
10,SR,70.89931,3,4,
10,SR,68.0083847,3,3,
10,SR,34.3222542,2,2,
11,P+SR,50.5299225,3,9,
11,P+SR,30.84306,2,4,
11,P+SR,18.3327656,1,4,
11,P+SR,20.9297714,1,3,
11,P+SR,44.99065,3,4,
11,P+SR,34.35831,2,2,
11,P+SR,31.55604,1,3,
11,P+SR,25.3456249,1,3,
11,P+SR,26.5497417,1,1,
11,P+SR,25.9863453,2,4,
11,P+SR,21.3477764,1,1,
11,P+SR,30.0255375,2,2,
11,Label,76.46581,2,2,
11,Label,194.956711,5,2,
11,Label,58.8654022,3,3,
11,Label,34.5113945,1,2,
11,Label,19.51532,1,1,
11,Label,80.1904144,5,2,
11,Label,98.91836,5,3,
11,Label,73.9090652,4,4,
11,Label,48.51194,3,2,
11,Label,49.956852,3,3,
11,Label,57.2309837,2,6,
11,Label,57.0331726,4,3,
11,Pointing,97.87539,2,4,
11,Pointing,98.83795,3,6,
11,Pointing,32.3114243,1,3,
11,Pointing,20.7450943,1,1,
11,Pointing,50.8949432,2,4,
11,Pointing,35.1736679,2,2,
11,Pointing,52.7510872,3,3,
11,Pointing,37.71689,1,2,
11,Pointing,20.490572,1,1,
11,Pointing,43.6954041,2,6,
11,Pointing,34.4756241,2,4,
11,Pointing,31.2091484,2,3,
11,SR,64.08883,3,3,
11,SR,78.62865,4,4,
11,SR,44.73259,1,1,
11,SR,39.47451,1,2,
11,SR,97.34027,5,4,
11,SR,242.860245,3,4,
11,SR,151.129364,3,7,
11,SR,77.71267,4,6,
11,SR,55.7783623,3,4,
11,SR,41.7536125,2,3,
11,SR,24.39209,1,2,
11,SR,50.003685,3,3,
12,Label,79.86022,2,2,
12,Label,143.823425,4,2,
12,Label,182.560791,7,3,
12,Label,46.3814659,1,3,
12,Label,40.6587524,2,2,
12,Label,39.6804047,1,2,
12,Label,37.977375,1,6,
12,Label,90.11824,3,3,
12,Label,31.6412487,2,1,
12,Label,37.4702225,1,4,
12,Label,18.6026325,1,1,
12,Label,41.187027,1,2,
12,Pointing,33.545948,1,2,
12,Pointing,45.8063622,2,6,
12,Pointing,20.726881,1,3,
12,Pointing,29.4045048,2,4,
12,Pointing,22.4515553,1,1,
12,Pointing,40.0435867,2,4,
12,Pointing,71.63541,4,3,
12,Pointing,58.6179,3,3,
12,Pointing,42.00311,2,2,
12,Pointing,54.5424423,3,3,
12,Pointing,22.677042,1,2,
12,Pointing,34.792347,2,2,
12,SR,32.7313232,1,1,
12,SR,149.36937,2,3,
12,SR,80.22805,2,4,
12,SR,235.275,2,10,
12,SR,207.92926,4,3,
12,SR,174.739655,5,2,
12,SR,134.838547,1,1,
12,SR,133.856979,3,3,
12,SR,81.71896,2,1,
12,SR,95.3121643,2,4,
12,SR,98.30206,3,3,
12,P+SR,34.049675,1,3,
12,P+SR,52.9558258,1,1,
12,P+SR,41.7490044,1,3,
12,P+SR,26.58157,1,3,
12,P+SR,53.9204636,3,6,
12,P+SR,46.36486,1,1,
12,P+SR,52.94804,1,4,
12,P+SR,32.9773636,1,6,
12,P+SR,79.59707,2,4,
12,P+SR,21.849966,1,2,
12,P+SR,25.0977974,1,4,
12,P+SR,62.1901,3,2,
13,Label,140.347443,4,4,
13,Label,70.8556747,1,2,
13,Label,59.0212822,3,3,
13,Label,93.90537,4,4,
13,Label,105.800957,5,3,
13,Label,90.78726,2,6,
13,Label,26.5398769,1,3,
13,Label,44.9112053,2,4,
13,Label,107.742485,5,6,
13,Label,29.5866337,1,1,
13,Label,83.66895,3,3,
13,Label,29.6899452,1,1,
13,P+SR,119.530083,1,9,
13,P+SR,79.48905,1,3,
13,P+SR,60.8537445,1,3,
13,P+SR,60.9762421,1,4,
13,P+SR,74.75196,1,2,
13,P+SR,68.97535,1,4,
13,P+SR,38.7444229,1,4,
13,P+SR,61.84543,1,1,
13,P+SR,39.3822174,1,4,
13,P+SR,26.6808071,1,1,
13,P+SR,55.71344,1,2,
13,P+SR,44.3558235,1,3,
13,Pointing,58.438385,1,1,
13,Pointing,88.26167,3,4,
13,Pointing,79.28168,3,3,
13,Pointing,28.5207138,1,1,
13,Pointing,81.53101,3,3,
13,Pointing,97.68423,3,3,
13,Pointing,40.26937,1,2,
13,Pointing,74.94768,2,6,
13,Pointing,38.75392,2,2,
13,Pointing,52.9181976,2,2,
13,Pointing,41.66402,2,2,
13,Pointing,34.0765457,1,2,
13,SR,62.6025162,1,3,
