participant,condition,file,taskId,finalId,T_task_sec,N_cmds,n_devices_required,n_colors_required,device_arrange_id
1,Label,4_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,5dbf45c3-ee64-475f-8cf5-4637e1e3630d,45.18023,2,3,,
1,Label,4_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,a61c9e99-7fa9-444d-889b-c2fcc71b852e,38.279994,1,1,,
1,Label,4_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,44402af5-69c7-4615-8dcd-032970541226,64.52007,1,4,,
1,Label,4_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,944b0597-b7ea-4611-b840-dabcb4c46f1c,32.119994,1,1,,
1,Label,4_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,c08e5fd1-bd99-45a4-be72-88c57dd7fcde,110.80046,6,4,,
1,Label,4_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,fb2a3333-a413-4305-8428-33201f39fe46,20.04027,1,2,,
1,Label,4_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,0005a366-956e-4266-a89a-6dbd02d6af0d,54.60008,3,9,,
1,Label,4_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,9b2735bd-ecd3-41a0-a329-dc6b1b3cc60a,21.04006,1,2,,
1,Label,4_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,16719d23-2992-4286-b7ba-b9fe55fd4683,20.68005,1,3,,
1,Label,4_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,d7df9815-a468-4f4c-b5f2-6cd45609f9ac,80.179997,2,4,,
1,Label,4_D.json,bee10050-f98c-456a-a684-4435ee88ef00,0d9e8946-c121-4407-a55a-adfe1dc9b538,35.94027,1,3,,
1,Label,4_D.json,c78550a2-290e-4b94-98db-961c2110c668,7b992b53-e7d0-4ff6-9371-969e8db76bc4,19.70006,2,4,,
1,Pointing,3_C.json,7612d934-759d-4a55-9a58-ef65940b7162,f7b2d6c3-7fb8-48fa-833e-e1d41ceeef87,52.0213661,3,3,,
1,Pointing,3_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,8bc481ee-1cd4-4eb2-8a06-6014c9fa8051,16.11647,1,1,,
1,Pointing,3_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,8e7e1cf2-49e3-487f-aef1-8dd2a56b681c,38.9533424,1,3,,
1,Pointing,3_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,e9986253-db00-451f-9a05-61e071023e3b,35.8074036,2,4,,
1,Pointing,3_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,667be4de-0c43-4da1-b299-c727a67eb8d1,41.2814,2,4,,
1,Pointing,3_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,3782d5a3-a783-4f49-bcdc-047b503546b4,40.26455,2,2,,
1,Pointing,3_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,247b9979-afe8-4e46-833a-ed04c513e845,25.8251057,2,4,,
1,Pointing,3_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,b1c5aa06-b074-40b4-8f57-0c8ea0979d62,34.91839,2,3,,
1,Pointing,3_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,53b28667-2f8a-48da-b0bc-1caf2711cd22,16.84917,1,1,,
1,Pointing,3_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,731d5aa9-d972-44e9-a0e3-41dc5e18b8ff,28.73032,2,6,,
1,Pointing,3_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,7be3acb7-46ac-4d80-9971-de0afe0e6856,19.9321346,1,2,,
1,Pointing,3_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,dd8f22ef-3b39-4ee6-b921-dbdce840f97c,39.94463,3,6,,
1,P+SR,2_B.json,95479aa7-9c98-49e4-817e-727302518dae,a68a835e-e6a2-4466-8613-3e59d7163821,34.9134521,1,3,,
1,P+SR,2_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,1056e5b2-cabd-4d25-84f4-8e72d2112d21,93.4015045,1,4,,
1,P+SR,2_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,c255c0d4-ee9e-4aba-8fd0-f924d6f03586,22.82896,1,2,,
1,P+SR,2_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,5159710f-8798-4225-9e0b-568e0471b183,27.5241356,1,3,,
1,P+SR,2_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,f0f529e1-abb2-4fd3-b235-d490ffcc9b88,30.08858,1,2,,
1,P+SR,2_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,4f810784-6666-43ab-961f-cee303928c9a,26.2445641,1,2,,
1,P+SR,2_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,37013020-19c6-485c-b7cb-0fc48e98117a,28.5922871,1,2,,
1,P+SR,2_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,9ea5421a-64a8-40d6-a8d9-70061aa5b4d7,63.62015,2,4,,
1,P+SR,2_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,ebba41dd-4354-4a68-a7ad-6e54c3600b63,28.4153919,1,6,,
1,P+SR,2_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,6d2b9661-1299-4dbe-937d-1d1bb47ce50d,31.2349129,1,3,,
1,P+SR,2_B.json,386be10f-0686-4118-928d-b57f06593b2f,10515fb1-aaae-49b1-8485-463cafb8f242,63.2518272,2,3,,
1,P+SR,2_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,d9038356-ebef-45f2-9b96-2c7450638ad0,19.374506,1,1,,
1,SR,1_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,aadcfb64-9e23-4c66-b0c8-0badc79d6e27,92.06196,3,6,,
1,SR,1_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,03f25dc0-e633-416e-bd8d-5932cdb0c887,49.800087,1,4,,
1,SR,1_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,b1f2e58c-83bb-4457-8f54-419078706d31,55.4441147,2,2,,
1,SR,1_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,b822a855-c7f7-41d9-8ca5-2e3bc7eb1a3f,28.2178535,1,1,,
