participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
1,Label,4_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,45.18023,2,6,3,3
1,Label,4_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,38.279994,1,1,1,1
1,Label,4_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,64.52007,1,4,4,1
1,Label,4_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,32.119994,1,1,1,1
1,Label,4_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,110.80046,6,18,4,2
1,Label,4_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,20.04027,1,2,2,2
1,Label,4_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,54.60008,3,18,9,3
1,Label,4_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,21.04006,1,2,2,2
1,Label,4_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,20.68005,1,3,3,1
1,Label,4_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,80.179997,2,6,4,2
1,Label,4_D.json,bee10050-f98c-456a-a684-4435ee88ef00,35.94027,1,3,3,3
1,Label,4_D.json,c78550a2-290e-4b94-98db-961c2110c668,19.70006,2,6,4,2
1,Pointing,3_C.json,7612d934-759d-4a55-9a58-ef65940b7162,52.0213661,3,6,3,3
1,Pointing,3_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,16.11647,1,1,1,1
1,Pointing,3_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,38.9533424,1,3,3,1
1,Pointing,3_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,35.8074036,2,6,4,2
1,Pointing,3_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,41.2814,2,6,4,2
1,Pointing,3_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,40.26455,2,3,2,2
1,Pointing,3_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,25.8251057,2,6,4,2
1,Pointing,3_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,34.91839,2,5,3,2
1,Pointing,3_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,16.84917,1,1,1,1
1,Pointing,3_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,28.73032,2,9,6,2
1,Pointing,3_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,19.9321346,1,2,2,1
1,Pointing,3_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,39.94463,3,12,6,3
1,P+SR,2_B.json,95479aa7-9c98-49e4-817e-727302518dae,34.9134521,1,3,3,1
1,P+SR,2_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,93.4015045,1,4,4,2
