participant,condition,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
1,Label,37.110132,3.613392901846496,1.0,3.5,3.0,2.0,21.8150875
1,P+SR,29.34043355,3.3786413487036366,1.0,3.0,3.0,2.0,29.34043355
1,Pointing,35.3628968,3.5655841505098067,2.0,5.5,3.0,2.0,17.399825183333334
1,SR,53.02343735,3.9696908456817206,2.0,3.0,2.0,2.0,28.4106315
2,P+SR,24.1361475,3.1836088372650413,1.5,3.0,3.0,2.0,19.728040999999997
2,Pointing,19.24118,2.957044670558795,2.0,5.5,3.0,2.0,11.3441763
2,SR,63.921052,4.144987515505927,2.0,3.5,3.5,2.0,29.42615666666667
3,Label,67.67966,4.211635122272728,3.0,6.5,3.0,2.0,23.917264433333333
3,P+SR,38.97657965,3.662296549294485,1.0,3.0,3.0,2.0,38.97657965
3,Pointing,38.49320985,3.6492084167552363,2.0,3.0,2.0,2.0,19.246604925
3,SR,97.60212,4.5807947417153585,2.5,7.5,4.5,2.0,46.881040541666664
4,Label,66.34481,4.194814796565517,1.0,3.5,3.0,2.0,55.042997799999995
4,P+SR,33.93081665,3.5123665697161965,1.0,3.0,3.0,2.0,26.341651
4,Pointing,31.81588745,3.456161627687345,2.0,5.0,3.0,2.0,17.612830175
4,SR,67.367615,4.2083648475175615,2.0,3.5,2.5,2.0,27.582837505555556
5,Label,35.2947197,3.56155962773249,2.0,4.5,2.0,2.0,19.028836425
5,P+SR,26.17894455,3.2647970590593074,1.0,3.5,3.0,2.0,22.468305575000002
5,Pointing,28.470276849999998,3.348850464292764,2.0,5.5,3.0,2.0,14.374117824999999
5,SR,39.11663059999999,3.666543755933075,1.0,3.0,2.0,2.0,29.672868333333334
6,Label,46.216809,3.8326039109459655,1.0,3.0,3.0,2.0,46.216809
6,P+SR,69.4239977,4.240229809858334,3.0,8.5,3.0,2.0,22.762729691666667
6,Pointing,27.5982361,3.314989213748185,2.0,5.0,3.0,2.0,12.996520499999999
6,SR,61.741683300000005,4.121728316166701,1.5,3.5,2.0,2.0,47.65316249999999
7,Label,87.81042500000001,4.463452368955549,2.5,7.5,3.0,2.0,26.888900749999998
7,P+SR,34.44792115,3.5375111679187383,1.0,3.0,3.0,2.0,30.5028175
7,Pointing,41.9771767,3.7365006626788104,2.0,5.0,3.0,2.0,23.9493904
