Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4
Participant 1,Spatial(WoZ),A,Spatial(System),B,Pointing+Spatial(WoZ),C,Label(WoZ),D
Participant 2,Pointing+Spatial(WoZ),B,Spatial(WoZ),C,Label(WoZ),D,Spatial(System),A
Participant 3,Label(WoZ),C,Pointing+Spatial(WoZ),D,Spatial(System),A,Spatial(WoZ),B
Participant 4,Spatial(System),D,Label(WoZ),A,Spatial(WoZ),B,Pointing+Spatial(WoZ),C
Participant 5,Spatial(WoZ),A,Spatial(System),B,Pointing+Spatial(WoZ),C,Label(WoZ),D
Participant 6,Pointing+Spatial(WoZ),B,Spatial(WoZ),C,Label(WoZ),D,Spatial(System),A
Participant 7,Label(WoZ),C,Pointing+Spatial(WoZ),D,Spatial(System),A,Spatial(WoZ),B
Participant 8,Spatial(System),D,Label(WoZ),A,Spatial(WoZ),B,Pointing+Spatial(WoZ),C
Participant 9,Spatial(WoZ),A,Spatial(System),B,Pointing+Spatial(WoZ),C,Label(WoZ),D
Participant 10,Pointing+Spatial(WoZ),B,Spatial(WoZ),C,Label(WoZ),D,Spatial(System),A
Participant 11,Label(WoZ),C,Pointing+Spatial(WoZ),D,Spatial(System),A,Spatial(WoZ),B
Participant 12,Spatial(System),D,Label(WoZ),A,Spatial(WoZ),B,Pointing+Spatial(WoZ),C
Participant 13,Spatial(WoZ),A,Spatial(System),B,Pointing+Spatial(WoZ),C,Label(WoZ),D
Participant 14,Pointing+Spatial(WoZ),B,Spatial(WoZ),C,Label(WoZ),D,Spatial(System),A
Participant 15,Label(WoZ),C,Pointing+Spatial(WoZ),D,Spatial(System),A,Spatial(WoZ),B
Participant 16,Spatial(System),D,Label(WoZ),A,Spatial(WoZ),B,Pointing+Spatial(WoZ),C
Participant 17,Spatial(WoZ),A,Spatial(System),B,Pointing+Spatial(WoZ),C,Label(WoZ),D
Participant 18,Pointing+Spatial(WoZ),B,Spatial(WoZ),C,Label(WoZ),D,Spatial(System),A
Participant 19,Label(WoZ),C,Pointing+Spatial(WoZ),D,Spatial(System),A,Spatial(WoZ),B
Participant 20,Spatial(System),D,Label(WoZ),A,Spatial(WoZ),B,Pointing+Spatial(WoZ),C
Participant 21,Spatial(WoZ),A,Spatial(System),B,Pointing+Spatial(WoZ),C,Label(WoZ),D
Participant 22,Pointing+Spatial(WoZ),B,Spatial(WoZ),C,Label(WoZ),D,Spatial(System),A
Participant 23,Label(WoZ),C,Pointing+Spatial(WoZ),D,Spatial(System),A,Spatial(WoZ),B
Participant 24,Spatial(System),D,Label(WoZ),A,Spatial(WoZ),B,Pointing+Spatial(WoZ),C
