Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4,Condition 1_ConditionNum,Condition 2_ConditionNum,Condition 3_ConditionNum,Condition 4_ConditionNum
P1,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
P2,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
P3,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
P4,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
P5,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
P6,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
P7,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
P8,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
P9,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
P10,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
P11,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
P12,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
P13,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
P14,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
P15,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
P16,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
P17,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
P18,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
P19,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
P20,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
P21,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
P22,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
P23,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
P24,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
