タイムスタンプ,参加者,1番使いやすかったもの,2番目に使いやすかったもの,3番目に使いやすかったもの,4番目に使いやすかったもの
2025/07/28 10:19:23,P1,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/07/28 14:05:20,P2,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/07/29 10:44:39,P3,Pointing + 空間参照,Label,Pointing,空間参照だけ
2025/07/30 12:12:30,P4,Pointing + 空間参照,Pointing,空間参照だけ,Label
2025/07/30 15:47:51,P5,Pointing + 空間参照,空間参照だけ,Pointing,Label
2025/07/30 17:47:55,P6,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/07/31 12:21:27,P7,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/07/31 14:30:19,P8,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/08/01 14:23:07,P9,Pointing + 空間参照,Pointing,空間参照だけ,Label
2025/08/01 16:37:25,P10,Pointing + 空間参照,Label,Pointing,空間参照だけ
2025/08/02 14:32:49,P11,Pointing + 空間参照,Pointing,空間参照だけ,Label
2025/08/02 16:35:57,P12,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/08/05 15:15:43,P13,Pointing + 空間参照,Pointing,空間参照だけ,Label
2025/08/05 16:55:44,P14,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/09/16 12:11:08,P15,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/09/23 11:56:20,P16,Pointing + 空間参照,空間参照だけ,Pointing,Label
2025/10/02 14:24:47,P17,Pointing + 空間参照,Pointing,Label,空間参照だけ
2025/10/07 13:58:27,P19,Pointing + 空間参照,Pointing,空間参照だけ,Label
