,タイムスタンプ,ID,Condition,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）",Learning to operate this smart speaker system would be easy for me.（このスマートスピーカーの操作を学ぶのは簡単だと思います）,I would find it easy to get this system to do what I want it to do.（自分の望むようにシステムを操作するのは簡単だと思います） ,My interaction with this system would be clear and understandable.（このシステムとのやりとりは分かりやすいと思います） ） ,I would find this system to be flexible to interact with.（このシステムは柔軟に操作できると思います） ,It would be easy for me to become skillful at using this system.（このシステムを使いこなせるようになるのは簡単だと思います） ,I would find this system easy to use.（このシステムは使いやすいと思います） ,Using this smart speaker system in my home would enable me to accomplish tasks more quickly.（このスマートスピーカーを使うことで、タスクをより早く完了できると思います） ,Using this system would improve my performance in managing home-related tasks.（このシステムを使うことで、家庭関連の作業の効率が上がると思います） ,Using this smart speaker system in my home would increase my productivity in daily routines.（このスマートスピーカーを使うことで、日常の作業がより生産的になると思います） ,Using this system would enhance my effectiveness in everyday smart home usage.（このシステムを使うことで、スマートホームの操作がより効果的になると思います） ,Using this system would make it easier to do my daily home tasks.（このシステムを使うことで、日常の家庭作業がより簡単になると思います） ,would find this smart speaker system useful in my home life.（このスマートスピーカーは家庭生活において役立つと思います） ,  I am confident in the system.（私はこのシステムに自信を持っています）  ,The system provides security.（このシステムは安全性を提供します） ,The system has integrity.（このシステムには誠実さがあります） ,The system is dependable.（このシステムは信頼できます） ,The system is reliable.（このシステムは安定して動作します） ,I can trust the system.（私はこのシステムを信頼できます） ,I am familiar with the system.（私はこのシステムに慣れ親しんでいます） ,The system is deceptive.（このシステムは人を欺きます） ,The system behaves in an underhanded manner.（このシステムは不正な振る舞いをします） ,"I am suspicious of the system's intent, action, or outputs.（このシステムの意図・動作・出力に疑いを持っています） ",I am wary of the system.（私はこのシステムに警戒心を抱いています） ,The system's actions will have harmful or injurious outcome.（このシステムの行動は有害な結果をもたらす可能性があります） ," How mentally demanding was the task?（このタスクはどれくらい精神的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How physically demanding was the task?（このタスクはどれくらい身体的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How hurried or rushed was the pace of the task?（このタスクのペースはどれくらい急かされるものでしたか？）
1: Strongly Disagree 
21: Strongly Agree","How successful were you in accomplishing what you were asked to do?（求められたことをどれくらいうまく達成できたと思いますか？）
1: Strongly Disagree 
21: Strongly Agree","How hard did you have to work to accomplish your level of performance?（その成果を達成するために、どれくらい努力しましたか？）
1: Strongly Disagree 
21: Strongly Agree","How insecure, discouraged, irritated, stressed, and annoyed were you?（不安・落胆・苛立ち・ストレス・いら立ちはどの程度感じましたか？）
1: Strongly Disagree 
21: Strongly Agree",Free Description (自由記述)
0,2025/07/28 9:28:05,P1,1,2,3,2,3,3,2,2,4,3,2,5,2,3,2,2,3,4,4,4,3,3,4,2,4,3,3,2,2,2,2,1,3,1,1,13,15,10,15,16,13,
1,2025/07/28 9:42:23,P1,2,3,3,4,3,4,2,4,2,3,2,5,5,4,5,5,4,5,5,4,5,4,4,4,5,5,4,4,5,5,2,1,2,1,1,8,12,8,17,15,7,
2,2025/07/28 9:55:21,P1,3,3,2,4,2,4,2,4,2,4,2,6,5,5,6,5,5,4,4,4,4,4,5,4,5,5,5,6,5,4,2,1,2,1,1,11,13,8,18,13,11,
3,2025/07/28 10:18:19,P1,4,2,3,3,2,4,2,3,2,3,4,4,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,6,5,4,2,1,1,1,1,15,13,13,15,14,12,
4,2025/07/28 13:17:01,P2,2,5,1,5,1,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,2,2,１,19,9,１,体調がいいと操作しやすい
5,2025/07/28 13:26:54,P2,3,5,1,5,1,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,4,4,2,21,10,１,
6,2025/07/28 13:46:28,P2,4,3,1,2,2,3,1,3,3,2,2,6,3,6,4,5,1,3,4,3,3,3,4,2,7,7,7,7,7,1,1,1,1,3,2,15,7,6,21,18,7,
7,2025/07/28 14:05:05,P2,1,1,3,2,3,2,4,3,4,2,3,4,2,5,3,2,3,4,4,4,3,4,4,3,3,5,4,3,4,3,2,4,6,5,4,21,18,6,10,21,10,
8,2025/07/29 9:33:31,P3,3,4,1,5,2,5,1,5,1,5,4,6,6,7,5,6,6,4,5,4,4,5,5,5,5,6,6,7,6,3,1,1,1,1,2,3,3,１,20,6,3,
9,2025/07/29 9:55:46,P3,4,4,1,4,4,5,1,4,1,3,4,6,5,6,4,5,6,6,6,6,7,6,6,3,5,5,5,6,6,3,2,1,2,3,2,6,4,2,18,12,4,覚えればこれが一番いいと思った。\n覚えることが負担で、人によって違うんじゃないかなと思った。
10,2025/07/29 10:28:29,P3,1,3,2,3,4,4,2,3,2,2,3,6,2,5,6,2,5,4,5,5,5,5,6,2,3,5,3,3,2,3,3,4,3,3,4,14,13,4,9,16,6,"言葉でいうと便利な反面、\n言葉で説明しずらいこともあった。\n赤色の枠が見えにくい\n\nInstuctionの文字がちょっと見ずらい。\n
                                     音声のみでは明らかにできそうなタスクとできなそうなタスクの差があった"
11,2025/07/29 10:43:24,P3,2,4,2,4,4,5,1,4,1,4,4,6,6,6,5,6,6,4,5,4,5,4,6,5,5,6,6,6,6,4,2,2,2,2,2,3,3,１,20,5,2,
12,2025/07/30 11:28:58,P4,4,2,2,2,3,1,3,1,4,3,5,3,2,3,2,2,2,3,2,2,2,2,3,5,4,5,5,5,5,3,3,3,3,3,2,17,13,7,17,19,17,
13,2025/07/30 11:47:31,P4,1,3,2,4,2,3,2,3,3,2,1,5,2,5,3,3,4,5,5,5,5,4,5,3,3,2,3,3,3,4,5,5,5,5,4,10,9,5,18,8,12,
14,2025/07/30 12:00:54,P4,2,5,1,5,2,5,1,5,1,5,1,7,6,7,6,6,7,7,7,7,6,6,7,6,6,6,7,7,7,5,2,3,2,2,2,4,5,4,19,5,4,
15,2025/07/30 12:11:54,P4,3,4,1,5,1,2,2,5,1,5,1,7,7,7,6,7,6,4,4,4,4,5,5,7,7,7,7,7,7,7,1,1,1,1,1,3,3,3,20,3,3,
16,2025/07/30 15:10:18,P5,1,4,2,4,5,4,2,3,3,2,4,5,6,4,6,6,4,5,4,6,6,5,4,5,7,7,5,4,5,7,1,1,2,1,1,5,2,１,15,16,8,
17,2025/07/30 15:22:02,P5,2,5,2,5,2,5,1,5,2,5,3,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,7,7,7,7,1,1,1,1,1,１,3,１,17,6,2,指示を分けるときが明確であったと感じた
18,2025/07/30 15:33:11,P5,3,3,2,5,2,2,1,5,2,5,2,7,7,7,6,7,5,2,3,4,3,3,6,7,7,7,7,7,7,7,1,1,1,1,1,11,5,14,20,13,11,"確実に指定したものを実現できるが、少し時間のかかるものであった
"
19,2025/07/30 15:47:24,P5,4,4,4,2,5,2,1,2,5,2,5,2,3,3,2,1,2,5,5,4,5,4,3,3,7,5,5,4,5,3,1,1,1,1,1,14,7,5,15,21,6,他のものと比べて、最初の覚える作業にだいぶ負担を感じた
20,2025/07/30 16:38:22,P6,2,4,2,5,2,4,3,4,2,5,1,6,6,6,6,5,6,6,6,5,6,5,5,6,7,6,6,6,6,3,2,1,2,1,1,5,4,3,19,8,5,3つ選択して「点けて」と指示を出すだけでは視界にある一つしかつかなかったりと、命令の具体性が必要になる場面が稀にあった。全体としては選択した中でどのライトをどうつけるのかを考えることは難しいことではなかったため、指示を出しやすく使いやすい印象を受けた。
