タイムスタンプ,ID,Condition,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）",Learning to operate this smart speaker system would be easy for me.（このスマートスピーカーの操作を学ぶのは簡単だと思います）,I would find it easy to get this system to do what I want it to do.（自分の望むようにシステムを操作するのは簡単だと思います） ,My interaction with this system would be clear and understandable.（このシステムとのやりとりは分かりやすいと思います） ） ,I would find this system to be flexible to interact with.（このシステムは柔軟に操作できると思います） ,It would be easy for me to become skillful at using this system.（このシステムを使いこなせるようになるのは簡単だと思います） ,I would find this system easy to use.（このシステムは使いやすいと思います） ,Using this smart speaker system in my home would enable me to accomplish tasks more quickly.（このスマートスピーカーを使うことで、タスクをより早く完了できると思います） ,Using this system would improve my performance in managing home-related tasks.（このシステムを使うことで、家庭関連の作業の効率が上がると思います） ,Using this smart speaker system in my home would increase my productivity in daily routines.（このスマートスピーカーを使うことで、日常の作業がより生産的になると思います） ,Using this system would enhance my effectiveness in everyday smart home usage.（このシステムを使うことで、スマートホームの操作がより効果的になると思います） ,Using this system would make it easier to do my daily home tasks.（このシステムを使うことで、日常の家庭作業がより簡単になると思います） ,would find this smart speaker system useful in my home life.（このスマートスピーカーは家庭生活において役立つと思います） ,  I am confident in the system.（私はこのシステムに自信を持っています）  ,The system provides security.（このシステムは安全性を提供します） ,The system has integrity.（このシステムには誠実さがあります） ,The system is dependable.（このシステムは信頼できます） ,The system is reliable.（このシステムは安定して動作します） ,I can trust the system.（私はこのシステムを信頼できます） ,I am familiar with the system.（私はこのシステムに慣れ親しんでいます） ,The system is deceptive.（このシステムは人を欺きます） ,The system behaves in an underhanded manner.（このシステムは不正な振る舞いをします） ,"I am suspicious of the system's intent, action, or outputs.（このシステムの意図・動作・出力に疑いを持っています） ",I am wary of the system.（私はこのシステムに警戒心を抱いています） ,The system's actions will have harmful or injurious outcome.（このシステムの行動は有害な結果をもたらす可能性があります） ," How mentally demanding was the task?（このタスクはどれくらい精神的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How physically demanding was the task?（このタスクはどれくらい身体的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How hurried or rushed was the pace of the task?（このタスクのペースはどれくらい急かされるものでしたか？）
1: Strongly Disagree 
21: Strongly Agree","How successful were you in accomplishing what you were asked to do?（求められたことをどれくらいうまく達成できたと思いますか？）
1: Strongly Disagree 
21: Strongly Agree","How hard did you have to work to accomplish your level of performance?（その成果を達成するために、どれくらい努力しましたか？）
1: Strongly Disagree 
21: Strongly Agree","How insecure, discouraged, irritated, stressed, and annoyed were you?（不安・落胆・苛立ち・ストレス・いら立ちはどの程度感じましたか？）
1: Strongly Disagree 
21: Strongly Agree",Free Description (自由記述),SUS,TAM_PEOU,TAM_PU,Trust_Positive,Trust_Negative,Trust_All,NASA_TLX
2025/07/28 9:28:05,P1,1,2,3,2,3,3,2,2,4,3,2,5,2,3,2,2,3,4,4,4,3,3,4,2,4,3,3,2,2,2,2,1,3,1,1,13,15,10,15,16,13,,45.0,2.8333333333333335,3.6666666666666665,2.8,4.0,3.4,9.166666666666666
2025/07/28 9:42:23,P1,2,3,3,4,3,4,2,4,2,3,2,5,5,4,5,5,4,5,5,4,5,4,4,4,5,5,4,4,5,5,2,1,2,1,1,8,12,8,17,15,7,,65.0,4.666666666666667,4.5,4.4,3.0,3.7,7.833333333333333
2025/07/28 9:55:21,P1,3,3,2,4,2,4,2,4,2,4,2,6,5,5,6,5,5,4,4,4,4,4,5,4,5,5,5,6,5,4,2,1,2,1,1,11,13,8,18,13,11,,72.5,5.333333333333333,4.166666666666667,5.0,3.2,4.1,8.666666666666666
2025/07/28 10:18:19,P1,4,2,3,3,2,4,2,3,2,3,4,4,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,6,5,4,2,1,1,1,1,15,13,13,15,14,12,,55.0,4.666666666666667,4.5,5.2,3.4,4.3,9.666666666666666
2025/07/28 13:17:01,P2,2,5,1,5,1,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,2,2,１,19,9,１,体調がいいと操作しやすい,100.0,7.0,7.0,7.0,2.6,4.8,4.333333333333333
2025/07/28 13:26:54,P2,3,5,1,5,1,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,4,4,2,21,10,１,,100.0,7.0,7.0,7.0,2.6,4.8,5.5
2025/07/28 13:46:28,P2,4,3,1,2,2,3,1,3,3,2,2,6,3,6,4,5,1,3,4,3,3,3,4,2,7,7,7,7,7,1,1,1,1,3,2,15,7,6,21,18,7,,60.0,4.166666666666667,3.3333333333333335,6.0,3.8,4.9,9.0
2025/07/28 14:05:05,P2,1,1,3,2,3,2,4,3,4,2,3,4,2,5,3,2,3,4,4,4,3,4,4,3,3,5,4,3,4,3,2,4,6,5,4,21,18,6,10,21,10,,32.5,3.1666666666666665,3.8333333333333335,3.6,2.2,2.9,10.666666666666666
2025/07/29 9:33:31,P3,3,4,1,5,2,5,1,5,1,5,4,6,6,7,5,6,6,4,5,4,4,5,5,5,5,6,6,7,6,3,1,1,1,1,2,3,3,１,20,6,3,,87.5,6.0,4.5,5.8,3.6,4.7,5.0
2025/07/29 9:55:46,P3,4,4,1,4,4,5,1,4,1,3,4,6,5,6,4,5,6,6,6,6,7,6,6,3,5,5,5,6,6,3,2,1,2,3,2,6,4,2,18,12,4,,72.5,5.333333333333333,6.166666666666667,4.8,3.2,4.0,5.833333333333333
2025/07/29 10:28:29,P3,1,3,2,3,4,4,2,3,2,2,3,6,2,5,6,2,5,4,5,5,5,5,6,2,3,5,3,3,2,3,3,4,3,3,4,14,13,4,9,16,6,,55.0,4.333333333333333,5.0,3.2,3.0,3.1,7.833333333333333
2025/07/29 10:43:24,P3,2,4,2,4,4,5,1,4,1,4,4,6,6,6,5,6,6,4,5,4,5,4,6,5,5,6,6,6,6,4,2,2,2,2,2,3,3,１,20,5,2,,72.5,5.833333333333333,4.666666666666667,5.6,2.8,4.2,5.166666666666667
2025/07/30 11:28:58,P4,4,2,2,2,3,1,3,1,4,3,5,3,2,3,2,2,2,3,2,2,2,2,3,5,4,5,5,5,5,3,3,3,3,3,2,17,13,7,17,19,17,,30.0,2.3333333333333335,2.3333333333333335,4.8,2.6,3.7,9.833333333333334
