section,table,scale,subscale,condition,median,iqr,mean,sd,n,ci_low_med,ci_high_med,chi2,df,p,kendalls_W,k,row_cond,col_cond,p_adj,alpha,winner,loser
Descriptive,sus_total,SUS,Total,SR,52.5,18.125,50.9375,13.609709210067962,24.0,45.0,60.0,,,,,,,,,,,
Descriptive,sus_total,SUS,Total,P+SR,83.75,17.5,80.52083333333333,14.57699137463667,24.0,75.0,88.75,,,,,,,,,,,
Descriptive,sus_total,SUS,Total,Pointing,76.25,18.75,78.33333333333333,13.626753310935861,24.0,70.0,87.5,,,,,,,,,,,
Descriptive,sus_total,SUS,Total,Label,42.5,25.625,47.916666666666664,16.805580508625226,24.0,39.968750000000014,60.0,,,,,,,,,,,
Descriptive,tpa_total,TPA,Total,SR,4.083333333333334,1.8125,4.298611111111112,1.1818158944495505,24.0,3.6666666666666665,5.166666666666667,,,,,,,,,,,
Descriptive,tpa_total,TPA,Total,P+SR,6.041666666666666,0.8541666666666661,6.0243055555555545,0.696557774699532,24.0,5.75,6.25,,,,,,,,,,,
Descriptive,tpa_total,TPA,Total,Pointing,6.125,1.145833333333333,6.125,0.7554152327780023,24.0,5.666666666666667,6.666666666666667,,,,,,,,,,,
Descriptive,tpa_total,TPA,Total,Label,4.791666666666666,1.291666666666667,4.916666666666667,1.11261974875247,24.0,4.333333333333333,5.5,,,,,,,,,,,
Descriptive,tam_peou,TAM,PEOU,SR,4.25,1.5416666666666665,4.125,1.084865137770478,24.0,3.6666666666666665,4.666666666666667,,,,,,,,,,,
Descriptive,tam_peou,TAM,PEOU,P+SR,6.083333333333334,0.666666666666667,6.013888888888889,0.8624152505679837,24.0,5.833333333333333,6.333333333333334,,,,,,,,,,,
Descriptive,tam_peou,TAM,PEOU,Pointing,5.916666666666666,1.208333333333334,5.861111111111112,0.756081090318278,24.0,5.333333333333333,6.333333333333333,,,,,,,,,,,
Descriptive,tam_peou,TAM,PEOU,Label,3.916666666666667,1.958333333333333,3.840277777777778,1.2340569427065309,24.0,2.8333333333333335,4.666666666666667,,,,,,,,,,,
Descriptive,tam_pu,TAM,PU,SR,4.583333333333334,1.4583333333333335,4.305555555555556,1.1822629029359821,24.0,3.8333333333333335,5.0,,,,,,,,,,,
Descriptive,tam_pu,TAM,PU,P+SR,6.0,1.5,5.8680555555555545,0.9246740732317114,24.0,5.333333333333334,6.333333333333333,,,,,,,,,,,
Descriptive,tam_pu,TAM,PU,Pointing,5.0,1.541666666666667,5.166666666666667,1.2276996280897026,24.0,4.666666666666667,6.0,,,,,,,,,,,
Descriptive,tam_pu,TAM,PU,Label,4.333333333333333,3.083333333333333,4.215277777777778,1.5112134538375381,24.0,3.0,5.333333333333333,,,,,,,,,,,
Descriptive,tam_total,TAM,Total,SR,4.291666666666666,1.208333333333333,4.215277777777778,1.0358654887527867,24.0,3.6666666666666665,4.75,,,,,,,,,,,
Descriptive,tam_total,TAM,Total,P+SR,6.0,0.958333333333333,5.940972222222221,0.8403613664656336,24.0,5.666666666666667,6.333333333333333,,,,,,,,,,,
Descriptive,tam_total,TAM,Total,Pointing,5.5,0.8958333333333339,5.513888888888888,0.8557374798736747,24.0,5.166666666666666,5.916666666666667,,,,,,,,,,,
Descriptive,tam_total,TAM,Total,Label,3.833333333333333,2.1875,4.027777777777778,1.3027902670311808,24.0,3.1666666666666665,4.916666666666667,,,,,,,,,,,
