Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4,Condition 1_ConditionNum,Condition 2_ConditionNum,Condition 3_ConditionNum,Condition 4_ConditionNum
P1,spatial,A,pointing,C,pointing+spatial,D,label,B,1,2,3,4
P2,pointing+spatial,B,spatial,C,label,D,pointing,A,3,1,4,2
P3,pointing,B,spatial,D,pointing+spatial,C,label,A,2,1,3,4
P4,spatial,B,pointing+spatial,A,pointing,D,label,C,1,3,2,4
P5,pointing,B,label,C,pointing+spatial,A,spatial,D,2,4,3,1
P6,spatial,C,label,D,pointing+spatial,B,pointing,A,1,4,3,2
P7,pointing,C,label,D,spatial,B,pointing+spatial,A,2,4,1,3
P8,label,B,pointing,D,spatial,A,pointing+spatial,C,4,2,1,3
P9,pointing+spatial,C,spatial,D,pointing,B,label,A,3,1,2,4
P10,pointing+spatial,D,label,B,spatial,C,pointing,A,3,4,1,2
P11,label,A,spatial,B,pointing+spatial,D,pointing,C,4,1,3,2
P12,label,C,spatial,B,pointing,D,pointing+spatial,A,4,1,2,3
P13,label,C,pointing+spatial,B,pointing,D,spatial,A,4,3,2,1
P14,pointing,C,pointing+spatial,D,label,B,spatial,A,2,3,4,1
P15,spatial,D,label,C,pointing,A,pointing+spatial,B,1,4,2,3
P16,pointing+spatial,A,pointing,B,label,D,spatial,C,3,2,4,1
P17,label,B,pointing+spatial,D,spatial,A,pointing,C,4,3,1,2
P18,spatial,C,pointing+spatial,B,label,A,pointing,D,1,3,4,2
P19,spatial,D,pointing,B,label,A,pointing+spatial,C,1,2,4,3
P20,pointing+spatial,C,label,D,pointing,A,spatial,B,3,4,2,1
P21,label,D,pointing,C,pointing+spatial,B,spatial,A,4,2,3,1
P22,pointing+spatial,C,pointing,D,spatial,B,label,A,3,2,1,4
P23,pointing,D,spatial,C,label,B,pointing+spatial,A,2,1,4,3
P24,pointing,B,pointing+spatial,D,spatial,A,label,C,2,3,1,4
