Participant,Condition 1,Task Set 1,Condition 1_ConditionNum,Condition 2,Task Set 2,Condition 2_ConditionNum,Condition 3,Task Set 3,Condition 3_ConditionNum,Condition 4,Task Set 4,Condition 4_ConditionNum
P1,空間参照だけ,A,1,Pointing+空間参照,B,3,ポインティングだけ,C,2,ラベル,D,4
P2,空間参照だけ,A,1,Pointing+空間参照,B,3,ポインティングだけ,C,2,ラベル,D,4
P3,空間参照だけ,A,1,Pointing+空間参照,B,3,ポインティングだけ,C,2,ラベル,D,4
P4,空間参照だけ,A,1,Pointing+空間参照,B,3,ポインティングだけ,C,2,ラベル,D,4
P5,空間参照だけ,A,1,Pointing+空間参照,B,3,ポインティングだけ,C,2,ラベル,D,4
P6,Pointing+空間参照,D,3,ポインティングだけ,A,2,ラベル,B,4,空間参照だけ,C,1
P7,ラベル,A,4,Pointing+空間参照,B,3,空間参照だけ,C,1,ポインティングだけ,D,2
P8,空間参照だけ,B,1,ラベル,C,4,ポインティングだけ,D,2,Pointing+空間参照,A,3
P9,ポインティングだけ,C,2,空間参照だけ,D,1,Pointing+空間参照,A,3,ラベル,B,4
P10,Pointing+空間参照,D,3,ポインティングだけ,A,2,ラベル,B,4,空間参照だけ,C,1
P11,空間参照だけ,C,1,ラベル,D,4,ポインティングだけ,A,2,Pointing+空間参照,B,3
P12,ラベル,B,4,Pointing+空間参照,C,3,空間参照だけ,D,1,ポインティングだけ,A,2
P13,ポインティングだけ,A,2,空間参照だけ,B,1,Pointing+空間参照,C,3,ラベル,D,4
P14,Pointing+空間参照,C,3,ポインティングだけ,D,2,ラベル,A,4,空間参照だけ,B,1
P15,ポインティングだけ,B,2,空間参照だけ,C,1,Pointing+空間参照,D,3,ラベル,A,4
P16,空間参照だけ,A,1,ラベル,B,4,ポインティングだけ,C,2,Pointing+空間参照,D,3
P17,ラベル,D,4,Pointing+空間参照,A,3,空間参照だけ,B,1,ポインティングだけ,C,2
P18,Pointing+空間参照,B,3,ポインティングだけ,C,2,ラベル,D,4,空間参照だけ,A,1
P19,ポインティングだけ,A,2,空間参照だけ,B,1,Pointing+空間参照,C,3,ラベル,D,4
P20,ラベル,C,4,Pointing+空間参照,D,3,空間参照だけ,A,1,ポインティングだけ,B,2
P21,空間参照だけ,D,1,ラベル,A,4,ポインティングだけ,B,2,Pointing+空間参照,C,3
