Participant,Condition 1,Task Set 1,Condition 1_ConditionNum,Condition 2,Task Set 2,Condition 2_ConditionNum,Condition 3,Task Set 3,Condition 3_ConditionNum,Condition 4,Task Set 4,Condition 4_ConditionNum
P1,spatial,C,1,pointing+spatial,B,2,pointing,D,3,label,A,4
P2,pointing+spatial,B,2,pointing,C,3,label,D,4,spatial,A,1
P3,pointing,A,3,label,B,4,spatial,C,1,pointing+spatial,D,2
P4,label,C,4,spatial,A,1,pointing+spatial,B,2,pointing,D,3
P5,spatial,B,1,pointing+spatial,C,2,pointing,D,3,label,A,4
P6,pointing+spatial,D,2,pointing,C,3,label,B,4,spatial,A,1
P7,pointing,D,3,label,C,4,spatial,A,1,pointing+spatial,B,2
P8,label,C,4,spatial,B,1,pointing+spatial,A,2,pointing,D,3
P9,spatial,D,1,pointing+spatial,A,2,pointing,C,3,label,B,4
P10,pointing+spatial,A,2,pointing,D,3,label,B,4,spatial,C,1
P11,pointing,C,3,label,A,4,spatial,B,1,pointing+spatial,D,2
P12,label,A,4,spatial,D,1,pointing+spatial,C,2,pointing,B,3
P13,spatial,B,1,pointing+spatial,D,2,pointing,A,3,label,C,4
P14,pointing+spatial,A,2,pointing,B,3,label,C,4,spatial,D,1
P15,pointing,B,3,label,A,4,spatial,D,1,pointing+spatial,C,2
P16,label,C,4,spatial,B,1,pointing+spatial,D,2,pointing,A,3
P17,spatial,D,1,pointing+spatial,C,2,pointing,B,3,label,A,4
P18,pointing+spatial,B,2,pointing,A,3,label,D,4,spatial,C,1
P19,pointing,C,3,label,B,4,spatial,A,1,pointing+spatial,D,2
P20,label,D,4,spatial,B,1,pointing+spatial,A,2,pointing,C,3
P21,spatial,C,1,pointing+spatial,B,2,pointing,A,3,label,D,4
P22,pointing+spatial,C,2,pointing,B,3,label,D,4,spatial,A,1
P23,pointing,A,3,label,B,4,spatial,D,1,pointing+spatial,C,2
P24,label,D,4,spatial,C,1,pointing+spatial,A,2,pointing,B,3
