Participant,Condition 1,Task Set 1,Condition 2,Task Set 2,Condition 3,Task Set 3,Condition 4,Task Set 4,Condition 1_ConditionNum,Condition 2_ConditionNum,Condition 3_ConditionNum,Condition 4_ConditionNum
Participant 1,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
Participant 2,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
Participant 3,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
Participant 4,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
Participant 5,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
Participant 6,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
Participant 7,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
Participant 8,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
Participant 9,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
Participant 10,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
Participant 11,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
Participant 12,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
Participant 13,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
Participant 14,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
Participant 15,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
Participant 16,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
Participant 17,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
Participant 18,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
Participant 19,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
Participant 20,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
Participant 21,空間参照だけ,A,ポインティングだけ,B,Pointing+空間参照,C,ラベル,D,1.0,3.0,2.0,4.0
Participant 22,Pointing+空間参照,B,空間参照だけ,C,ラベル,D,ポインティングだけ,A,2.0,1.0,4.0,3.0
Participant 23,ラベル,C,Pointing+空間参照,D,ポインティングだけ,A,空間参照だけ,B,4.0,2.0,3.0,1.0
Participant 24,ポインティングだけ,D,ラベル,A,空間参照だけ,B,Pointing+空間参照,C,3.0,4.0,1.0,2.0
